FitMethod,sigmaC,TemporalRes,TrueRelKt,TrueRelVe,TrueKep,TrueVp,errKt,errVe,errKep,errVp,stdErrKt,stdErrVe,stdErrKep,stdErrVp,meanResid,stdResid,fracImag
ETM,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,0.002960,-0.000307,0.003267,-0.130700,0.019997,0.000052,0.019946,1.856694,NaN,NaN,0.000000
ERTM,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,0.006675,-0.002044,0.008719,0.173842,0.000051,0.000003,0.000054,0.005159,NaN,NaN,0.000000
CERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.000397,-0.000143,-0.000482,0.060888,0.000168,0.000098,0.000071,0.046482,NaN,NaN,0.000000
ERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.000378,-0.000141,-0.000388,0.059222,0.000251,0.000101,0.000497,0.053971,NaN,NaN,0.000000
CERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.000397,-0.000143,-0.000482,0.060888,0.000168,0.000098,0.000071,0.046482,NaN,NaN,0.000000
ERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.000378,-0.000141,-0.000388,0.059222,0.000251,0.000101,0.000497,0.053971,NaN,NaN,0.000000
ETM,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,0.068943,-0.009077,0.077999,-1.775203,0.145396,0.027524,0.121058,8.418578,NaN,NaN,0.000000
ERTM,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,0.133497,-0.039866,0.173432,3.276556,0.001220,0.000384,0.001109,0.141767,NaN,NaN,0.000000
CERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,-0.009232,-0.003338,-0.008918,1.450742,0.000693,0.000413,0.000286,0.198871,NaN,NaN,0.000000
ERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,-0.009215,-0.003347,-0.008835,1.449172,0.000981,0.000470,0.001769,0.224492,NaN,NaN,0.000000
CERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,-0.009232,-0.003338,-0.008918,1.450742,0.000693,0.000413,0.000286,0.198871,NaN,NaN,0.000000
ERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,-0.009215,-0.003347,-0.008835,1.449172,0.000981,0.000470,0.001769,0.224492,NaN,NaN,0.000000
ETM,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,0.342622,-0.240506,0.477104,103.364309,9.454451,1.978546,7.963611,803.086041,NaN,NaN,0.000000
ERTM,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,0.405445,-0.103296,0.509252,5.347343,0.086502,0.030561,0.059342,16.047863,NaN,NaN,0.000000
CERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,-0.035495,-0.012953,-0.030181,5.696457,0.061119,0.031673,0.033716,14.966917,NaN,NaN,0.000000
ERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,-0.035463,-0.012821,-0.030024,5.706576,0.100699,0.042531,0.250485,17.391669,NaN,NaN,0.000000
CERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,-0.035495,-0.012953,-0.030181,5.696457,0.061119,0.031673,0.033716,14.966917,NaN,NaN,0.000000
ERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,-0.035463,-0.012821,-0.030024,5.706576,0.100699,0.042531,0.250485,17.391669,NaN,NaN,0.000000
ETM,0.000000,15.000000,3.571429,2.857143,0.625000,0.001000,-3.143710,-3.651689,0.413889,1675.318828,19.977785,5.772019,18.689188,3451.658657,NaN,NaN,0.000000
ERTM,0.000000,15.000000,3.571429,2.857143,0.625000,0.001000,0.778846,-0.164530,0.944855,1.254818,0.191951,0.069350,0.130394,40.892445,NaN,NaN,0.000000
CERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.001000,-0.072454,-0.025916,-0.049623,11.616867,0.205330,0.103843,0.122451,49.815435,NaN,NaN,0.000000
ERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.001000,-0.074962,-0.026213,-0.070543,11.913914,0.334446,0.136969,0.824693,56.770360,NaN,NaN,0.000000
CERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.001000,-0.072454,-0.025916,-0.049623,11.616867,0.205330,0.103843,0.122451,49.815435,NaN,NaN,0.000000
ERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.001000,-0.074962,-0.026213,-0.070543,11.913914,0.334446,0.136969,0.824693,56.770360,NaN,NaN,0.000000
ETM,0.000000,1.000000,3.571429,2.857143,0.625000,0.005000,0.002926,-0.000307,0.003233,-0.026767,0.019789,0.000051,0.019738,0.367472,NaN,NaN,0.000000
ERTM,0.000000,1.000000,3.571429,2.857143,0.625000,0.005000,-0.008395,-0.007874,-0.000521,0.557991,0.000230,0.000009,0.000238,0.005282,NaN,NaN,0.000000
CERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.005000,0.000016,-0.000015,0.001149,0.003323,0.000832,0.000483,0.000349,0.045986,NaN,NaN,0.000000
ERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.005000,0.000115,-0.000007,0.001676,0.001463,0.001227,0.000484,0.002453,0.053396,NaN,NaN,0.000000
CERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.005000,0.000016,-0.000015,0.001149,0.003323,0.000832,0.000483,0.000349,0.045986,NaN,NaN,0.000000
ERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.005000,0.000115,-0.000007,0.001676,0.001463,0.001227,0.000484,0.002453,0.053396,NaN,NaN,0.000000
ETM,0.000000,5.000000,3.571429,2.857143,0.625000,0.005000,0.071756,-0.008400,0.080135,-0.394071,0.145509,0.027555,0.121136,1.683114,NaN,NaN,0.000000
ERTM,0.000000,5.000000,3.571429,2.857143,0.625000,0.005000,-0.122035,-0.138646,0.016634,9.517371,0.006950,0.002757,0.004385,0.245235,NaN,NaN,0.000000
CERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.005000,0.003579,0.000694,0.043600,0.011567,0.003569,0.002100,0.001470,0.200511,NaN,NaN,0.000000
ERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.005000,0.003924,0.000734,0.045417,0.005075,0.005004,0.002361,0.009178,0.227216,NaN,NaN,0.000000
CERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.005000,0.003579,0.000694,0.043600,0.011567,0.003569,0.002100,0.001470,0.200511,NaN,NaN,0.000000
ERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.005000,0.003924,0.000734,0.045417,0.005075,0.005004,0.002361,0.009178,0.227216,NaN,NaN,0.000000
ETM,0.000000,10.000000,3.571429,2.857143,0.625000,0.005000,0.304964,-0.253861,0.454072,21.757153,9.424810,1.975279,7.944716,161.464042,NaN,NaN,0.000000
ERTM,0.000000,10.000000,3.571429,2.857143,0.625000,0.005000,0.031654,-0.248828,0.280560,14.094048,0.504418,0.231733,0.276892,21.969023,NaN,NaN,0.000000
CERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.005000,0.020404,0.004311,0.205648,-0.031005,0.246719,0.142887,0.107778,13.633192,NaN,NaN,0.000000
ERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.005000,0.019213,0.004663,0.190337,0.018567,0.380676,0.179720,0.873700,15.838230,NaN,NaN,0.000000
CERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.005000,0.020404,0.004311,0.205648,-0.031005,0.246719,0.142887,0.107778,13.633192,NaN,NaN,0.000000
ERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.005000,0.019213,0.004663,0.190337,0.018567,0.380676,0.179720,0.873700,15.838230,NaN,NaN,0.000000
ETM,0.000000,15.000000,3.571429,2.857143,0.625000,0.005000,-3.444351,-3.661562,0.124544,330.922378,19.821319,5.744924,18.619643,689.979186,NaN,NaN,0.000000
ERTM,0.000000,15.000000,3.571429,2.857143,0.625000,0.005000,0.454078,-0.293618,0.746244,11.759770,1.215196,0.584267,0.634352,56.487342,NaN,NaN,0.000000
CERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.005000,0.045583,0.009621,0.475094,-0.003695,0.789527,0.457138,0.347037,43.408189,NaN,NaN,0.000000
ERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.005000,0.027525,0.011093,0.279644,0.557270,1.175875,0.561263,2.535386,49.973321,NaN,NaN,0.000000
CERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.005000,0.045583,0.009621,0.475094,-0.003695,0.789527,0.457138,0.347037,43.408189,NaN,NaN,0.000000
ERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.005000,0.027525,0.011093,0.279644,0.557270,1.175875,0.561263,2.535386,49.973321,NaN,NaN,0.000000
ETM,0.000000,1.000000,3.571429,2.857143,0.625000,0.050000,0.003373,-0.000306,0.003679,-0.001847,0.019821,0.000052,0.019769,0.036805,NaN,NaN,0.000000
ERTM,0.000000,1.000000,3.571429,2.857143,0.625000,0.050000,-0.177904,-0.073458,-0.104523,0.644304,0.002252,0.000074,0.002320,0.005334,NaN,NaN,0.000000
CERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.050000,0.004209,-0.000534,0.026807,-0.013236,0.008333,0.004839,0.003495,0.046061,NaN,NaN,0.000000
ERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.050000,0.004061,-0.000713,0.025440,-0.012763,0.010683,0.003202,0.024564,0.053480,NaN,NaN,0.000000
CERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.050000,0.004209,-0.000534,0.026807,-0.013236,0.008333,0.004839,0.003495,0.046061,NaN,NaN,0.000000
ERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.050000,0.004061,-0.000713,0.025440,-0.012763,0.010683,0.003202,0.024564,0.053480,NaN,NaN,0.000000
ETM,0.000000,5.000000,3.571429,2.857143,0.625000,0.050000,0.071717,-0.008537,0.080233,-0.037349,0.144589,0.027525,0.120261,0.169043,NaN,NaN,0.000000
ERTM,0.000000,5.000000,3.571429,2.857143,0.625000,0.050000,-2.971741,-1.246651,-1.746880,10.916471,0.072283,0.029469,0.044435,0.267275,NaN,NaN,0.000000
CERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.050000,0.100860,-0.012434,0.632066,-0.311397,0.035914,0.021078,0.014916,0.199709,NaN,NaN,0.000000
ERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.050000,0.103388,-0.013604,0.653819,-0.319172,0.044620,0.017272,0.092670,0.226494,NaN,NaN,0.000000
CERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.050000,0.100860,-0.012434,0.632066,-0.311397,0.035914,0.021078,0.014916,0.199709,NaN,NaN,0.000000
ERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.050000,0.103388,-0.013604,0.653819,-0.319172,0.044620,0.017272,0.092670,0.226494,NaN,NaN,0.000000
ETM,0.000000,10.000000,3.571429,2.857143,0.625000,0.050000,0.342916,-0.252374,0.491265,2.213714,9.444458,1.965806,7.980057,16.140199,NaN,NaN,0.000000
ERTM,0.000000,10.000000,3.571429,2.857143,0.625000,0.050000,-4.057150,-1.862043,-2.307573,15.955052,5.185739,2.500801,2.818579,23.478137,NaN,NaN,0.000000
CERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.050000,0.415781,-0.041220,2.456411,-1.243774,2.431628,1.446359,1.012130,13.546103,NaN,NaN,0.000000
ERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.050000,0.620004,0.106931,2.478374,-1.388704,3.172762,1.232374,8.000810,15.653001,NaN,NaN,0.000000
CERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.050000,0.415781,-0.041220,2.456411,-1.243774,2.431628,1.446359,1.012130,13.546103,NaN,NaN,0.000000
ERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.050000,0.620004,0.106931,2.478374,-1.388704,3.172762,1.232374,8.000810,15.653001,NaN,NaN,0.000000
ETM,0.000000,15.000000,3.571429,2.857143,0.625000,0.050000,-3.526261,-3.751932,0.145374,34.077087,19.768505,5.693354,18.652650,68.890905,NaN,NaN,0.000000
ERTM,0.000000,15.000000,3.571429,2.857143,0.625000,0.050000,-2.740483,-1.627968,-1.552668,13.389854,12.593698,6.338818,6.574993,60.212271,NaN,NaN,0.000000
CERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.050000,0.997025,-0.055298,5.268130,-2.836438,7.889107,4.719893,3.313048,42.817641,NaN,NaN,0.000000
ERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.050000,2.557482,1.311402,2.705167,-3.300018,9.423417,3.672121,23.082210,48.615411,NaN,NaN,0.000000
CERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.050000,0.997025,-0.055298,5.268130,-2.836438,7.889107,4.719893,3.313048,42.817641,NaN,NaN,0.000000
ERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.050000,2.557482,1.311402,2.705167,-3.300018,9.423417,3.672121,23.082210,48.615411,NaN,NaN,0.000000
ETM,0.000000,1.000000,3.571429,2.857143,0.625000,0.100000,0.002976,-0.000307,0.003283,-0.001292,0.019741,0.000051,0.019689,0.018328,NaN,NaN,0.000000
ERTM,0.000000,1.000000,3.571429,2.857143,0.625000,0.100000,-0.365978,-0.146312,-0.219989,0.649217,0.004482,0.000143,0.004617,0.005296,NaN,NaN,0.000000
CERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.100000,0.003840,-0.004478,0.039884,-0.010485,0.016602,0.009641,0.006962,0.045876,NaN,NaN,0.000000
ERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.100000,0.004186,-0.006110,0.050786,-0.012414,0.017883,0.003075,0.048941,0.053270,NaN,NaN,0.000000
CERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.100000,0.003840,-0.004478,0.039884,-0.010485,0.016602,0.009641,0.006962,0.045876,NaN,NaN,0.000000
ERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.100000,0.004186,-0.006110,0.050786,-0.012414,0.017883,0.003075,0.048941,0.053270,NaN,NaN,0.000000
ETM,0.000000,5.000000,3.571429,2.857143,0.625000,0.100000,0.071345,-0.008447,0.079770,-0.019652,0.144519,0.027532,0.120178,0.084523,NaN,NaN,0.000000
ERTM,0.000000,5.000000,3.571429,2.857143,0.625000,0.100000,-6.088476,-2.472076,-3.708119,10.996440,0.143029,0.059126,0.089258,0.269954,NaN,NaN,0.000000
CERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.100000,0.113474,-0.145871,1.280727,-0.326871,0.072281,0.042456,0.030112,0.199777,NaN,NaN,0.000000
ERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.100000,0.115170,-0.151822,1.324055,-0.334641,0.077665,0.021750,0.185656,0.226562,NaN,NaN,0.000000
CERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.100000,0.113474,-0.145871,1.280727,-0.326871,0.072281,0.042456,0.030112,0.199777,NaN,NaN,0.000000
ERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.100000,0.115170,-0.151822,1.324055,-0.334641,0.077665,0.021750,0.185656,0.226562,NaN,NaN,0.000000
ETM,0.000000,10.000000,3.571429,2.857143,0.625000,0.100000,0.334364,-0.241334,0.469756,1.031327,9.454389,1.982434,7.963363,8.067484,NaN,NaN,0.000000
ERTM,0.000000,10.000000,3.571429,2.857143,0.625000,0.100000,-8.416984,-3.636269,-5.245877,16.117384,10.051259,4.941319,5.627118,23.324906,NaN,NaN,0.000000
CERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.100000,0.479699,-0.451568,4.234821,-1.143488,4.900085,2.924303,2.051009,13.463043,NaN,NaN,0.000000
ERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.100000,1.358426,0.109988,4.618662,-1.487857,5.413549,1.747442,15.863503,15.507224,NaN,NaN,0.000000
CERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.100000,0.479699,-0.451568,4.234821,-1.143488,4.900085,2.924303,2.051009,13.463043,NaN,NaN,0.000000
ERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.100000,1.358426,0.109988,4.618662,-1.487857,5.413549,1.747442,15.863503,15.507224,NaN,NaN,0.000000
ETM,0.000000,15.000000,3.571429,2.857143,0.625000,0.100000,-3.382082,-3.595682,0.100820,16.153272,19.975872,5.666971,18.701667,33.895999,NaN,NaN,0.000000
ERTM,0.000000,15.000000,3.571429,2.857143,0.625000,0.100000,-5.740587,-3.049099,-4.476017,13.723031,24.381856,12.496476,13.254641,59.812494,NaN,NaN,0.000000
CERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.100000,1.164473,-0.465184,5.441440,-1.866678,15.633576,9.357338,6.613577,42.461916,NaN,NaN,0.000000
ERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.100000,9.302456,5.970678,1.129299,-3.934137,14.909576,5.927444,47.713565,47.830703,NaN,NaN,0.000000
CERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.100000,1.164473,-0.465184,5.441440,-1.866678,15.633576,9.357338,6.613577,42.461916,NaN,NaN,0.000000
ERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.100000,9.302456,5.970678,1.129299,-3.934137,14.909576,5.927444,47.713565,47.830703,NaN,NaN,0.000000
ETM,0.000000,1.000000,3.571429,2.857143,0.625000,0.150000,0.002984,-0.000307,0.003291,-0.000857,0.019876,0.000052,0.019825,0.012303,NaN,NaN,0.000000
ERTM,0.000000,1.000000,3.571429,2.857143,0.625000,0.150000,-0.553914,-0.219142,-0.335507,0.650816,0.006765,0.000212,0.006971,0.005321,NaN,NaN,0.000000
CERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.150000,0.001541,-0.012221,0.060262,-0.010742,0.025081,0.014565,0.010519,0.046195,NaN,NaN,0.000000
ERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.150000,0.000806,-0.016046,0.076637,-0.012675,0.022118,0.000226,0.073928,0.053641,NaN,NaN,0.000000
CERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.150000,0.001541,-0.012221,0.060262,-0.010742,0.025081,0.014565,0.010519,0.046195,NaN,NaN,0.000000
ERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.150000,0.000806,-0.016046,0.076637,-0.012675,0.022118,0.000226,0.073928,0.053641,NaN,NaN,0.000000
ETM,0.000000,5.000000,3.571429,2.857143,0.625000,0.150000,0.070951,-0.008624,0.079554,-0.012545,0.144520,0.027436,0.120300,0.056229,NaN,NaN,0.000000
ERTM,0.000000,5.000000,3.571429,2.857143,0.625000,0.150000,-9.152431,-3.690903,-5.670954,11.023792,0.212340,0.088735,0.134937,0.271458,NaN,NaN,0.000000
CERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.150000,0.035306,-0.392889,1.924348,-0.331966,0.109728,0.064457,0.045917,0.200905,NaN,NaN,0.000000
ERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.150000,0.033086,-0.407777,1.991295,-0.339992,0.100880,0.017396,0.281397,0.227954,NaN,NaN,0.000000
CERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.150000,0.035306,-0.392889,1.924348,-0.331966,0.109728,0.064457,0.045917,0.200905,NaN,NaN,0.000000
ERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.150000,0.033086,-0.407777,1.991295,-0.339992,0.100880,0.017396,0.281397,0.227954,NaN,NaN,0.000000
ETM,0.000000,10.000000,3.571429,2.857143,0.625000,0.150000,0.450585,-0.239937,0.586074,0.753033,9.433840,1.978124,7.955524,5.403964,NaN,NaN,0.000000
ERTM,0.000000,10.000000,3.571429,2.857143,0.625000,0.150000,-12.252454,-5.223697,-8.068520,15.703245,14.725713,7.357324,8.507818,23.325114,NaN,NaN,0.000000
CERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.150000,0.476160,-1.164536,6.527747,-1.446256,7.538170,4.504606,3.193244,13.541791,NaN,NaN,0.000000
ERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.150000,2.596996,0.407450,6.790286,-1.896406,7.059826,3.006773,23.909259,15.545377,NaN,NaN,0.000000
CERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.150000,0.476160,-1.164536,6.527747,-1.446256,7.538170,4.504606,3.193244,13.541791,NaN,NaN,0.000000
ERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.150000,2.596996,0.407450,6.790286,-1.896406,7.059826,3.006773,23.909259,15.545377,NaN,NaN,0.000000
ETM,0.000000,15.000000,3.571429,2.857143,0.625000,0.150000,-3.304195,-3.715603,0.327338,11.344775,19.850228,5.740777,18.654092,23.034447,NaN,NaN,0.000000
ERTM,0.000000,15.000000,3.571429,2.857143,0.625000,0.150000,-7.036045,-3.786863,-7.227983,12.212958,35.633251,18.494800,20.159847,59.768658,NaN,NaN,0.000000
CERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.150000,2.798169,-4.753588,27.714592,-5.410938,29.430465,17.783982,14.067436,44.596967,NaN,NaN,0.000000
ERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.150000,23.614047,19.795761,-3.876744,-6.045446,19.652500,23.949956,75.920884,47.399971,NaN,NaN,0.000000
CERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.150000,2.798169,-4.753588,27.714592,-5.410938,29.430465,17.783982,14.067436,44.596967,NaN,NaN,0.000000
ERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.150000,21.086614,8.493796,0.613535,-6.103369,19.420866,11.002336,68.996422,47.321322,NaN,NaN,0.000000
ETM,0.000000,1.000000,3.571429,2.857143,0.625000,0.200000,0.003107,-0.000306,0.003414,-0.000585,0.019836,0.000052,0.019785,0.009208,NaN,NaN,0.000000
ERTM,0.000000,1.000000,3.571429,2.857143,0.625000,0.200000,-0.741725,-0.291953,-0.451090,0.651590,0.008996,0.000280,0.009273,0.005301,NaN,NaN,0.000000
CERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.200000,-0.006761,-0.032684,0.109668,-0.013696,0.033396,0.019394,0.014013,0.046109,NaN,NaN,0.000000
ERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.200000,-0.005904,-0.030246,0.103075,-0.013130,0.023223,0.006455,0.098381,0.053536,NaN,NaN,0.000000
CERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.200000,-0.006761,-0.032684,0.109668,-0.013696,0.033396,0.019394,0.014013,0.046109,NaN,NaN,0.000000
ERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.200000,-0.005904,-0.030246,0.103075,-0.013130,0.023223,0.006455,0.098381,0.053536,NaN,NaN,0.000000
ETM,0.000000,5.000000,3.571429,2.857143,0.625000,0.200000,0.068759,-0.008985,0.077722,-0.009199,0.144424,0.027598,0.119877,0.041769,NaN,NaN,0.000000
ERTM,0.000000,5.000000,3.571429,2.857143,0.625000,0.200000,-12.161648,-4.902169,-7.633911,11.037193,0.277199,0.117326,0.179255,0.270970,NaN,NaN,0.000000
CERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.200000,-0.128498,-0.746570,2.569016,-0.331579,0.145392,0.085490,0.061065,0.198664,NaN,NaN,0.000000
ERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.200000,-0.136382,-0.770419,2.648235,-0.338743,0.113078,0.023309,0.369680,0.225234,NaN,NaN,0.000000
CERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.200000,-0.128498,-0.746570,2.569016,-0.331579,0.145392,0.085490,0.061065,0.198664,NaN,NaN,0.000000
ERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.200000,-0.136382,-0.770419,2.648235,-0.338743,0.113078,0.023309,0.369680,0.225234,NaN,NaN,0.000000
ETM,0.000000,10.000000,3.571429,2.857143,0.625000,0.200000,0.565255,-0.215127,0.677268,0.539724,9.393411,1.974826,7.924867,4.064906,NaN,NaN,0.000000
ERTM,0.000000,10.000000,3.571429,2.857143,0.625000,0.200000,-15.863970,-6.747672,-10.944657,15.463502,19.080642,9.677651,11.396181,23.224140,NaN,NaN,0.000000
CERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.200000,0.321339,-1.858321,7.607094,-1.492347,10.145801,6.055172,4.337777,13.544660,NaN,NaN,0.000000
ERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.200000,4.421849,1.326709,8.345874,-2.120991,8.223980,5.724506,32.156743,15.527793,NaN,NaN,0.000000
CERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.200000,0.321339,-1.858321,7.607094,-1.492347,10.145801,6.055172,4.337777,13.544660,NaN,NaN,0.000000
ERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.200000,4.421849,1.326709,8.345874,-2.120991,8.223980,5.724506,32.156743,15.527793,NaN,NaN,0.000000
ETM,0.000000,15.000000,3.571429,2.857143,0.625000,0.200000,-3.576803,-3.646566,-0.039213,8.136497,19.970955,5.748298,18.722216,17.217121,NaN,NaN,0.000000
ERTM,0.000000,15.000000,3.571429,2.857143,0.625000,0.200000,-9.062591,-4.968997,-11.142688,13.257021,46.029873,24.062950,27.241948,59.566650,NaN,NaN,0.000000
CERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.200000,2.461981,-9.756853,38.578194,-5.048914,43.354699,25.962354,22.783917,45.552089,NaN,NaN,0.000000
ERRM,0.000000,15.000000,3.571429,2.857143,0.625000,0.200000,45.320534,41.369245,-15.123253,-6.274634,32.101262,50.205520,106.546444,46.279670,NaN,NaN,0.000000
CERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.200000,2.461981,-9.756853,38.578194,-5.048914,43.354699,25.962354,22.783917,45.552089,NaN,NaN,0.000000
ERRM-NN,0.000000,15.000000,3.571429,2.857143,0.625000,0.200000,31.936430,11.162329,2.970183,-6.049781,24.721197,14.513477,81.143701,46.569669,NaN,NaN,0.000000
ETM,0.010000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.003266,0.001189,-0.004353,-0.328320,0.409652,0.156084,0.404747,43.998351,NaN,NaN,0.000000
ERTM,0.010000,1.000000,3.571429,2.857143,0.625000,0.001000,0.139541,0.057425,0.082079,-25.245022,0.615669,0.151616,0.597937,47.744442,NaN,NaN,0.000000
CERRM,0.010000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.284979,-0.096793,-1.454819,25.270145,0.785271,0.328983,0.564416,145.022269,NaN,NaN,0.000000
ERRM,0.010000,1.000000,3.571429,2.857143,0.625000,0.001000,-27.208498,-33.416013,-0.068344,0.636871,44.111025,55.436318,6.081791,162.855741,NaN,NaN,0.000000
CERRM-NN,0.010000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.389448,-0.126692,-1.528159,40.905964,0.664367,0.287980,0.508326,121.393185,NaN,NaN,0.000000
ERRM-NN,0.010000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.469289,-0.196823,-1.126120,27.358379,0.948063,0.343184,5.603652,126.287834,NaN,NaN,0.000000
ETM,0.010000,5.000000,3.571429,2.857143,0.625000,0.001000,0.065747,-0.010183,0.076472,-0.808947,0.926182,0.348342,0.918418,97.381989,NaN,NaN,0.000000
ERTM,0.010000,5.000000,3.571429,2.857143,0.625000,0.001000,0.120751,-0.040502,0.161696,4.570239,1.036956,0.369174,1.007491,126.903699,NaN,NaN,0.000000
CERRM,0.010000,5.000000,3.571429,2.857143,0.625000,0.001000,-0.943126,-0.335244,-4.852228,89.545094,1.676075,0.692452,1.201512,315.680035,NaN,NaN,0.000000
