FitMethod,TemporalRes,sigmaC,q5Kt,q25Kt,q50Kt,q75Kt,q95Kt,q5Ve,q25Ve,q50Ve,q75Ve,q95Ve,q5Kep,q25Kep,q50Kep,q75Kep,q95Kep,q5Vp,q25Vp,q50Vp,q75Vp,q95Vp
TM,46.000000,0.000000,-751.093591,-59.962595,73.177359,234.589377,1021.666597,-21.655516,2.254289,14.257196,28.527533,68.901071,-556.822176,-56.951553,67.551721,179.404114,746.987778,NaN,NaN,NaN,NaN,NaN
RRM,46.000000,0.000000,-208.512449,-4.394313,11.792383,40.205792,162.686674,-23.505121,2.034138,8.612304,24.085103,84.017181,-467.088099,-42.712572,-6.474973,17.599043,268.610780,NaN,NaN,NaN,NaN,NaN
CRRM,46.000000,0.000000,-68.129343,1.108948,11.517289,42.351987,146.875444,-4.738716,1.498953,7.808466,22.546318,80.930046,-73.956196,-5.720548,5.259924,19.222671,114.462120,NaN,NaN,NaN,NaN,NaN
ETM,47.000000,0.000000,-128.563558,-84.607300,-51.002003,-18.761953,20.847372,-149.697874,-78.520598,-33.839097,-11.019082,21.406395,-88.709939,-56.178706,-0.488700,5.712631,57.681689,-268.330427,42.159314,293.350008,1452.378847,5106.619855
ERTM,47.000000,0.000000,-97.826477,-8.880117,4.834115,26.768454,84.448754,-96.451748,-5.481748,-0.712428,8.577572,41.539782,-76.248888,-5.985484,5.223405,16.996837,70.266123,-109.215582,-74.216482,-28.171020,137.643578,577.701023
RTM,47.000000,0.000000,-73.293676,6.535399,21.349550,58.846314,184.744469,-6.803311,0.664526,6.985153,21.559000,79.336662,-94.293600,3.363214,14.965716,33.785869,142.791655,NaN,NaN,NaN,NaN,NaN
CERRM,47.000000,0.000000,-99.912017,-20.308895,2.039734,16.987344,63.163217,-102.572844,-4.225353,1.274345,11.901504,46.204287,-94.337564,-20.079664,-0.212700,6.205251,41.659672,-126.764977,-90.611840,-66.292844,66.413388,654.612841
ERRM,47.000000,0.000000,-99.921257,-26.527019,3.923130,24.880143,106.181776,-447.056540,-2.674870,2.894102,20.770444,135.983617,-169.129494,-38.949644,-6.431610,10.600190,216.031849,-105.266880,-96.124102,-82.534882,5.535150,533.630674
TM,47.000000,0.000000,-789.624179,-61.881461,73.402378,233.368338,1114.566069,-21.439318,2.321211,14.310879,28.755457,69.215258,-588.724648,-58.266562,68.153128,179.044739,831.637889,NaN,NaN,NaN,NaN,NaN
RRM,47.000000,0.000000,-188.478653,-3.730821,12.339286,41.623977,163.845968,-20.678429,2.158197,8.951583,24.336899,84.474650,-443.207452,-42.207242,-6.554027,17.968609,269.855254,NaN,NaN,NaN,NaN,NaN
CRRM,47.000000,0.000000,-72.254328,1.012161,11.745350,42.620231,141.369060,-4.514960,1.545920,7.982542,22.654435,81.101338,-74.998537,-6.243879,5.402089,19.110349,111.404010,NaN,NaN,NaN,NaN,NaN
ETM,48.000000,0.000000,-128.497581,-84.781255,-51.814729,-18.895191,14.537618,-149.472370,-80.825242,-34.383495,-11.321958,21.528671,-89.656535,-56.439422,-0.985301,4.878440,51.286106,-270.010774,47.494552,304.146652,1472.943125,5060.336028
ERTM,48.000000,0.000000,-95.375920,-8.044126,4.742573,27.916542,85.129025,-90.837208,-4.994684,-0.765361,8.725635,42.443803,-75.807729,-6.304412,5.202920,17.711887,72.571256,-103.279010,-73.975473,-30.456521,130.998797,549.902743
RTM,48.000000,0.000000,-68.423533,6.568820,21.143138,60.255938,184.701348,-6.462058,0.552973,6.918872,21.402985,79.431871,-71.548518,3.452609,15.228353,34.219943,140.616709,NaN,NaN,NaN,NaN,NaN
CERRM,48.000000,0.000000,-99.683924,-19.598186,2.082811,17.923945,64.189486,-100.450088,-3.675018,1.343232,12.155694,48.071298,-92.470112,-19.964296,-0.018660,6.523974,42.961733,-132.153463,-92.173474,-67.564994,48.914537,659.223243
ERRM,48.000000,0.000000,-99.969410,-27.771697,3.954852,25.885079,109.265466,-451.489226,-2.938562,2.916610,20.452457,129.509464,-161.291023,-37.353756,-6.091644,11.523623,219.106617,-105.534029,-96.392038,-83.658610,-6.127819,524.492559
TM,48.000000,0.000000,-767.739931,-63.311595,75.027940,234.820144,1102.269854,-22.073959,2.836915,14.675439,28.815246,68.229851,-579.307891,-58.523194,69.530059,178.538298,818.551846,NaN,NaN,NaN,NaN,NaN
RRM,48.000000,0.000000,-176.182447,-5.215353,11.641717,40.867373,162.159936,-17.466327,2.074643,8.874917,24.678912,86.017959,-435.874374,-44.162657,-7.104762,18.191575,270.709215,NaN,NaN,NaN,NaN,NaN
CRRM,48.000000,0.000000,-68.096463,0.669568,11.519469,42.700629,139.498224,-4.419528,1.452120,7.862354,22.552648,80.902090,-72.694807,-6.595629,5.250225,18.905089,110.957240,NaN,NaN,NaN,NaN,NaN
ETM,49.000000,0.000000,-127.855697,-84.726802,-53.479240,-19.450747,19.260788,-149.557956,-80.968597,-35.419786,-11.998565,21.293325,-89.944616,-57.246986,-1.482442,4.356145,50.072235,-265.155655,46.958313,300.062853,1480.078303,5242.829833
ERTM,49.000000,0.000000,-98.344512,-8.039117,4.388440,27.683130,89.236468,-95.317280,-5.047042,-0.926113,8.524620,42.410620,-76.196431,-6.075027,5.250271,17.652106,74.501358,-101.008961,-72.167565,-26.088234,133.635170,543.309555
RTM,49.000000,0.000000,-126.903211,6.628097,21.564000,58.326602,188.589584,-6.807113,0.492188,6.932039,21.490156,80.135436,-122.093396,3.394178,15.351690,34.113338,145.715669,NaN,NaN,NaN,NaN,NaN
CERRM,49.000000,0.000000,-99.947746,-20.829903,2.119932,17.749322,62.965099,-103.054983,-4.209708,1.314326,11.762543,48.946666,-97.900317,-21.168849,-0.263916,6.284510,42.057494,-131.384717,-92.229325,-67.561499,60.853412,691.449703
ERRM,49.000000,0.000000,-99.980822,-30.199582,4.045758,25.179058,112.523892,-487.817362,-3.836091,2.816387,20.659432,116.379115,-167.604197,-39.829236,-6.407433,11.468461,219.398733,-107.753798,-96.745861,-84.301619,-2.997444,542.275492
TM,49.000000,0.000000,-764.885618,-63.199670,75.036403,238.615210,1111.411731,-22.326169,2.786194,14.662158,29.089744,69.520546,-597.493917,-59.148728,68.983189,181.577020,822.148690,NaN,NaN,NaN,NaN,NaN
RRM,49.000000,0.000000,-201.770815,-4.430188,12.179400,41.677927,164.168764,-21.610437,2.068731,8.725720,24.836225,84.357204,-444.714792,-43.319678,-7.085766,18.441323,266.403333,NaN,NaN,NaN,NaN,NaN
CRRM,49.000000,0.000000,-74.405846,0.390036,11.528059,41.744381,144.134288,-4.621647,1.419605,7.936366,22.734678,81.804157,-76.139902,-6.965124,4.940448,18.427740,111.039632,NaN,NaN,NaN,NaN,NaN
ETM,50.000000,0.000000,-128.065202,-87.033272,-54.583885,-19.699647,14.023559,-149.260420,-83.450291,-35.691753,-12.119894,18.878027,-90.270842,-57.298362,-1.967344,3.829984,46.285316,-263.222404,49.389207,304.099457,1513.907716,5123.277553
ERTM,50.000000,0.000000,-97.622238,-9.098521,4.313555,27.641827,88.573417,-94.891314,-5.038002,-1.063321,8.610949,42.594653,-76.305846,-6.731309,5.132276,18.313961,73.628899,-100.995389,-72.174054,-26.471701,137.408601,547.886895
RTM,50.000000,0.000000,-104.194888,6.892028,21.406895,58.819139,184.480670,-7.262441,0.440255,6.866079,21.476497,79.964771,-114.621434,3.274748,15.634030,34.583651,139.365461,NaN,NaN,NaN,NaN,NaN
CERRM,50.000000,0.000000,-99.925189,-21.313363,2.066059,18.091974,66.883930,-102.853959,-4.091773,1.359867,12.250422,49.185013,-94.308257,-20.935425,-0.310768,6.641402,43.631290,-132.642726,-93.409788,-68.250067,51.054855,699.970840
ERRM,50.000000,0.000000,-99.981173,-31.930208,3.770672,25.473944,113.184605,-487.085873,-3.696169,2.846184,20.319756,121.271149,-170.053748,-40.678852,-6.627446,11.321951,214.696546,-108.563995,-97.108331,-84.753126,-5.753851,564.334092
TM,50.000000,0.000000,-831.618659,-66.025289,74.659588,235.686830,1104.749651,-22.688528,3.043210,14.720079,29.301971,69.283290,-637.202401,-60.503304,66.772722,179.961864,813.584745,NaN,NaN,NaN,NaN,NaN
RRM,50.000000,0.000000,-187.666797,-5.643195,11.737868,41.983334,162.309352,-25.129692,2.022799,8.798073,24.384644,83.954770,-444.617866,-44.990183,-7.644473,18.206929,263.387483,NaN,NaN,NaN,NaN,NaN
CRRM,50.000000,0.000000,-73.705555,-0.096545,11.308185,42.194578,140.653390,-4.838568,1.406346,7.753381,22.741516,81.230898,-77.943303,-8.098703,4.749272,18.513631,109.372871,NaN,NaN,NaN,NaN,NaN
ETM,51.000000,0.000000,-127.104112,-87.534654,-54.877478,-19.819576,12.351891,-148.730574,-84.565156,-36.599226,-12.186825,22.566934,-88.865234,-55.929961,-2.273843,3.482188,45.568894,-261.383746,51.855468,313.105034,1539.731628,5267.488899
ERTM,51.000000,0.000000,-97.920430,-9.273483,4.022140,27.175448,86.177395,-92.213649,-4.863118,-1.184219,8.605693,43.372582,-75.787951,-7.055907,5.185527,18.371232,71.995159,-99.498655,-71.738618,-26.585029,132.483791,544.660916
RTM,51.000000,0.000000,-90.876811,6.832442,20.868374,58.560904,183.708759,-7.409494,0.373596,6.733154,21.105842,80.477040,-103.544142,3.239801,15.221109,33.656216,137.187809,NaN,NaN,NaN,NaN,NaN
CERRM,51.000000,0.000000,-99.859285,-20.487488,2.098646,17.912575,67.968950,-101.050096,-3.272926,1.434915,12.931680,50.496169,-96.562148,-21.688787,-0.526406,6.433170,43.284456,-132.616878,-94.119403,-69.833931,36.344713,684.402580
ERRM,51.000000,0.000000,-99.983249,-33.494175,3.604064,24.850038,107.042547,-496.404320,-3.948045,2.815553,20.373818,120.021926,-171.001812,-40.472123,-6.822175,11.429697,222.553234,-109.385669,-97.613796,-86.120026,-17.516953,549.518370
TM,51.000000,0.000000,-841.663124,-66.155212,78.421041,247.447786,1091.102700,-22.636101,3.571498,14.991242,29.982072,69.411609,-636.091863,-61.114391,70.774970,188.083695,806.863881,NaN,NaN,NaN,NaN,NaN
RRM,51.000000,0.000000,-196.557521,-6.348672,10.802418,40.257868,159.786496,-19.092154,1.961320,8.632152,24.259350,84.855089,-412.741420,-44.956496,-8.215932,17.348824,261.459283,NaN,NaN,NaN,NaN,NaN
CRRM,51.000000,0.000000,-74.551840,-0.948216,10.615943,40.524040,138.195301,-4.582133,1.382016,7.849898,22.288661,81.634359,-76.392461,-8.998870,4.017752,17.706497,102.093803,NaN,NaN,NaN,NaN,NaN
ETM,52.000000,0.000000,-126.997353,-87.988317,-56.047798,-21.785663,7.833354,-148.429560,-84.720288,-36.982641,-13.178538,15.905794,-87.811245,-55.287835,-3.023117,3.367660,41.449536,-237.496553,55.026700,314.326109,1495.443124,5224.036672
ERTM,52.000000,0.000000,-98.569381,-9.180473,4.616630,28.776537,87.712953,-94.036397,-5.081796,-1.306172,8.562333,41.706236,-74.588207,-6.627768,5.704631,19.869710,75.366255,-97.917983,-70.628953,-24.196340,137.785122,558.799080
RTM,52.000000,0.000000,-120.947469,7.481264,22.205838,59.167763,181.718160,-7.352958,0.341112,6.687805,21.358171,79.242123,-121.006345,3.863312,16.372655,35.051493,139.289777,NaN,NaN,NaN,NaN,NaN
CERRM,52.000000,0.000000,-99.974860,-20.445583,2.405854,18.991624,65.166914,-101.135549,-3.448423,1.419104,12.962471,48.621864,-98.418818,-21.638409,-0.062951,7.025229,43.122066,-135.732258,-94.596394,-69.924922,39.391409,704.103650
ERRM,52.000000,0.000000,-99.984008,-35.388726,3.994095,25.231859,112.628391,-530.142368,-4.481945,2.849394,20.466168,140.114335,-172.033197,-40.311625,-6.665319,11.751797,198.763965,-111.392881,-97.881960,-86.410715,-18.597737,551.632940
TM,52.000000,0.000000,-845.856559,-67.047961,80.354119,244.877314,1155.470924,-22.978148,2.624772,14.925881,29.649068,68.857989,-656.475835,-61.436387,73.432117,186.865943,853.479497,NaN,NaN,NaN,NaN,NaN
RRM,52.000000,0.000000,-199.598149,-5.445609,11.769947,41.083666,163.409363,-15.401545,2.139219,8.914611,24.343856,85.448565,-410.365866,-44.462556,-8.049146,18.776776,258.916543,NaN,NaN,NaN,NaN,NaN
CRRM,52.000000,0.000000,-75.984948,-0.546940,10.916293,40.683467,139.082254,-4.374146,1.440139,7.836981,22.578148,80.428433,-77.185928,-9.078614,4.439941,18.054025,105.893591,NaN,NaN,NaN,NaN,NaN
ETM,53.000000,0.000000,-126.379377,-88.034586,-56.904705,-20.775816,9.890182,-149.253673,-85.491454,-37.681345,-13.149770,14.884996,-88.142887,-55.445973,-3.336794,3.108589,41.646023,-234.125092,54.811138,316.232069,1510.549046,5247.164146
ERTM,53.000000,0.000000,-99.028608,-9.400570,4.441702,28.815881,92.097815,-95.479987,-5.117646,-1.526437,8.443665,42.703286,-75.636572,-6.711084,5.516249,20.224851,76.135943,-95.689122,-69.280519,-20.099585,137.593183,547.293434
RTM,53.000000,0.000000,-134.702316,7.272023,21.814476,59.192608,177.720133,-7.291932,0.287737,6.637396,21.358206,80.843067,-121.636340,4.135493,16.235437,35.481701,137.199625,NaN,NaN,NaN,NaN,NaN
CERRM,53.000000,0.000000,-100.039113,-20.356932,2.312691,19.097276,67.363227,-102.610715,-3.552262,1.449274,12.864148,50.803417,-94.133312,-21.019081,-0.181497,7.166002,44.753022,-139.481507,-94.740739,-69.847585,41.925461,704.472347
ERRM,53.000000,0.000000,-99.985573,-37.163474,3.728204,25.828991,115.609878,-553.615032,-5.600750,2.729945,19.557422,125.179670,-166.852606,-40.774648,-6.642148,11.786376,220.087446,-112.467746,-98.111409,-86.935260,-21.367429,574.423151
TM,53.000000,0.000000,-842.474337,-67.015359,78.189579,245.354425,1163.343386,-23.267233,3.237326,15.042173,29.647821,68.536670,-643.406777,-61.724216,70.329168,185.306419,835.327050,NaN,NaN,NaN,NaN,NaN
RRM,53.000000,0.000000,-187.974141,-6.010246,11.581991,42.720382,162.675986,-16.367077,2.081845,8.814429,24.594465,85.529358,-400.971661,-45.106578,-8.207384,18.959315,267.485207,NaN,NaN,NaN,NaN,NaN
CRRM,53.000000,0.000000,-78.301289,-1.211304,10.718121,41.405309,134.732500,-4.540266,1.367092,7.600662,22.433980,82.524110,-91.095604,-9.471918,4.150071,17.970061,100.568965,NaN,NaN,NaN,NaN,NaN
ETM,54.000000,0.000000,-125.523645,-88.859506,-58.046122,-21.285302,8.262995,-148.002450,-86.661011,-38.576759,-13.375072,15.561463,-88.090600,-55.274261,-4.030418,2.759323,37.092479,-236.529599,59.304318,319.658208,1537.702297,5258.944031
ERTM,54.000000,0.000000,-99.371537,-9.013604,4.397474,28.849566,91.947580,-95.730879,-4.917941,-1.587217,8.380260,44.632585,-74.761438,-7.094553,5.600427,19.929827,76.523147,-94.218120,-68.168955,-18.529098,138.942724,560.443871
RTM,54.000000,0.000000,-134.513641,7.510929,22.190028,60.294532,181.412137,-7.160446,0.178976,6.609964,21.325681,80.007960,-121.732183,4.485142,16.234702,35.992742,138.276424,NaN,NaN,NaN,NaN,NaN
CERRM,54.000000,0.000000,-100.013507,-19.783476,2.283943,18.744173,67.209606,-103.221221,-3.082724,1.504651,13.211373,52.563026,-97.075361,-22.302006,-0.124327,7.290353,43.903544,-144.652066,-96.182054,-70.192243,36.045790,694.293182
ERRM,54.000000,0.000000,-99.985072,-41.480623,3.793933,25.757088,129.394769,-570.919774,-6.234865,2.803097,20.171512,124.402068,-178.712569,-43.271429,-6.965520,12.137626,211.410007,-112.460235,-98.407737,-87.277683,-25.734604,571.220083
TM,54.000000,0.000000,-873.638551,-68.578933,79.749425,246.523206,1120.582843,-23.353807,3.348421,15.102315,29.890741,68.896162,-676.034228,-62.755281,70.991228,188.410555,821.356663,NaN,NaN,NaN,NaN,NaN
RRM,54.000000,0.000000,-185.715140,-6.369965,11.260775,42.770090,162.614468,-19.689616,1.952362,8.665118,24.659629,84.251741,-393.737373,-45.985940,-8.259001,18.992637,277.014405,NaN,NaN,NaN,NaN,NaN
CRRM,54.000000,0.000000,-77.449930,-1.600023,10.561261,41.652048,137.053488,-4.588090,1.351188,7.771948,22.776727,82.638930,-78.787083,-10.340142,3.727132,17.830308,104.624192,NaN,NaN,NaN,NaN,NaN
ETM,55.000000,0.000000,-126.019117,-89.632443,-58.832155,-22.411326,7.350126,-149.002919,-88.486639,-38.689868,-13.526128,16.023740,-87.257857,-55.384969,-4.503522,2.518494,36.956044,-238.611700,56.494089,320.905259,1538.660580,5331.918727
ERTM,55.000000,0.000000,-99.978661,-10.145679,4.323357,28.997485,95.794061,-96.093873,-5.299924,-1.734321,8.220707,44.381798,-75.595302,-7.120214,5.659593,20.284736,76.690672,-93.077046,-68.367333,-16.074083,145.098623,584.518836
RTM,55.000000,0.000000,-135.589605,7.666542,22.247319,60.200407,178.877655,-7.660567,0.144774,6.652805,21.329228,78.885615,-126.067648,4.616429,16.513608,36.279353,138.804463,NaN,NaN,NaN,NaN,NaN
CERRM,55.000000,0.000000,-100.128921,-21.693312,2.228368,19.178484,68.994412,-102.487323,-3.260580,1.496391,13.333171,53.526312,-99.233278,-22.205144,-0.294529,7.205343,43.616015,-141.166506,-96.326620,-70.577103,43.654954,744.063279
ERRM,55.000000,0.000000,-99.987622,-43.453136,3.384090,24.260986,117.576113,-578.309044,-6.350525,2.767203,20.349430,121.768384,-179.227668,-44.013713,-7.350931,12.116479,213.083002,-114.785981,-98.563360,-87.600199,-22.895140,584.220728
TM,55.000000,0.000000,-893.944040,-70.675174,77.479745,246.513101,1164.807412,-24.287153,3.428055,15.147174,29.974751,68.689696,-694.310173,-64.618643,68.509190,189.788166,863.591955,NaN,NaN,NaN,NaN,NaN
RRM,55.000000,0.000000,-183.272528,-7.304875,11.410461,42.445489,161.009916,-18.303284,1.975612,8.850438,24.606998,84.323762,-406.607644,-47.128035,-9.074421,18.377291,269.050997,NaN,NaN,NaN,NaN,NaN
CRRM,55.000000,0.000000,-78.503653,-2.148007,10.662268,40.952993,134.773064,-4.591568,1.341372,7.874943,22.625034,81.105627,-84.507151,-11.158905,3.493750,17.239344,103.551353,NaN,NaN,NaN,NaN,NaN
ETM,56.000000,0.000000,-125.105724,-91.001415,-59.471522,-22.171182,8.665053,-148.537792,-91.873278,-39.780557,-14.049103,15.143781,-89.064198,-55.325379,-4.810691,1.965931,35.205953,-251.743265,61.630030,327.871665,1545.421565,5552.778709
ERTM,56.000000,0.000000,-99.434664,-9.517775,4.387138,28.771873,94.442894,-95.214643,-5.587175,-1.898225,8.446533,44.517737,-76.037785,-7.308344,6.022554,20.375952,75.350314,-92.992882,-68.323496,-11.222032,152.082721,611.352838
RTM,56.000000,0.000000,-121.755323,8.074230,22.798796,60.832910,180.597592,-7.883890,0.090954,6.499720,21.293333,79.774920,-117.885242,5.235452,16.388937,37.351168,137.312760,NaN,NaN,NaN,NaN,NaN
CERRM,56.000000,0.000000,-99.961486,-20.727205,2.227656,18.834308,70.487614,-102.040869,-3.176214,1.451085,13.537186,53.630442,-98.106830,-23.305011,-0.564377,7.179810,44.474870,-140.207126,-96.757496,-71.399429,39.136352,781.692554
ERRM,56.000000,0.000000,-99.988232,-43.990826,3.564057,24.444875,122.980681,-574.046433,-6.533466,2.774548,20.053878,137.589061,-179.288502,-44.053160,-7.799124,11.498173,193.716093,-115.413808,-98.883737,-88.384180,-24.779573,604.339436
TM,56.000000,0.000000,-1002.054514,-71.638487,76.194130,249.324784,1220.966288,-24.344852,3.226702,15.224937,30.211005,69.980595,-760.737454,-65.032752,65.802293,192.145389,902.610178,NaN,NaN,NaN,NaN,NaN
RRM,56.000000,0.000000,-171.207486,-7.002009,11.540210,41.940887,162.195722,-19.126746,1.945405,8.816230,24.456376,83.192328,-366.160789,-45.359079,-9.056340,18.539288,265.160154,NaN,NaN,NaN,NaN,NaN
CRRM,56.000000,0.000000,-74.768815,-2.201885,10.601296,41.057743,135.231261,-4.316863,1.385988,7.931387,22.523494,81.729983,-77.800368,-11.312382,3.299321,17.204810,101.514877,NaN,NaN,NaN,NaN,NaN
ETM,57.000000,0.000000,-125.406607,-89.967496,-60.246258,-22.572674,8.347895,-149.480890,-89.220384,-39.690255,-14.350654,14.809388,-87.172651,-55.293189,-4.752734,1.793991,35.407703,-235.192889,64.752531,328.759228,1585.052054,5339.677290
ERTM,57.000000,0.000000,-99.580599,-11.398405,4.507822,30.031547,97.308324,-93.760223,-5.787666,-2.112756,7.777990,43.927556,-74.506470,-7.890361,6.157492,21.588926,78.818200,-93.377315,-68.091449,-7.886157,158.405399,590.125413
RTM,57.000000,0.000000,-134.211279,8.155907,23.140646,61.312172,189.029802,-7.775939,0.037744,6.366825,21.312137,78.880804,-122.121787,5.554024,17.166804,37.943670,141.001185,NaN,NaN,NaN,NaN,NaN
CERRM,57.000000,0.000000,-99.989477,-22.779975,2.349895,19.378239,71.876158,-102.047109,-3.182364,1.461994,13.360822,53.679306,-99.525385,-23.186452,-0.318371,7.419462,45.752730,-144.295454,-97.129022,-71.481172,41.813118,748.806976
ERRM,57.000000,0.000000,-99.989029,-45.218606,3.579629,25.034851,117.867605,-595.683840,-7.863127,2.612601,19.916385,136.397071,-185.796517,-44.105845,-7.148652,12.704707,200.095605,-117.606600,-98.935399,-89.112577,-23.380689,586.693111
TM,57.000000,0.000000,-915.449651,-71.214002,79.146693,252.180773,1185.281676,-24.311217,3.790410,15.189151,29.995356,71.718032,-693.940113,-64.266101,70.180386,191.754759,910.751219,NaN,NaN,NaN,NaN,NaN
RRM,57.000000,0.000000,-183.595493,-8.045873,11.103074,41.952172,161.116019,-15.327729,2.070562,8.913423,25.189774,85.081440,-394.293848,-48.535680,-9.183368,18.889755,263.390227,NaN,NaN,NaN,NaN,NaN
CRRM,57.000000,0.000000,-77.524989,-2.318159,10.734341,41.442580,137.295966,-4.539142,1.355129,7.704221,22.518477,80.774150,-78.999902,-11.334675,3.517832,17.484320,102.232282,NaN,NaN,NaN,NaN,NaN
ETM,58.000000,0.000000,-124.378011,-92.947130,-60.223730,-23.220952,7.402036,-147.782028,-93.778399,-40.871183,-15.155703,12.015010,-87.886450,-55.228053,-5.079974,1.274893,30.858115,-227.558975,73.896032,349.950668,1629.295354,5534.654604
ERTM,58.000000,0.000000,-100.543149,-11.467311,4.368270,29.667260,93.204031,-96.635942,-5.886840,-2.236989,7.836011,43.336672,-75.330736,-8.071517,6.174454,21.871219,75.860940,-92.023233,-68.029684,-6.050831,155.633067,614.730605
RTM,58.000000,0.000000,-138.440562,8.128883,22.479892,59.876464,175.659495,-7.904693,-0.030394,6.434023,21.244980,79.462729,-124.265917,4.702213,16.920842,37.294514,134.678991,NaN,NaN,NaN,NaN,NaN
CERRM,58.000000,0.000000,-100.162709,-22.286370,2.334283,18.798725,69.237976,-103.088053,-3.017936,1.505485,13.315444,52.253398,-98.928471,-23.854327,-0.535632,7.291445,44.126435,-144.259944,-97.391411,-72.159893,26.572338,781.754930
ERRM,58.000000,0.000000,-99.993120,-48.939431,3.527530,24.511501,108.975409,-584.738995,-8.068441,2.649510,18.978544,136.015844,-181.683357,-44.644445,-7.853087,12.518867,183.242443,-118.892005,-99.131864,-89.477252,-33.467201,574.714739
TM,58.000000,0.000000,-1058.858831,-73.490081,80.136527,243.674658,1133.275877,-24.282610,4.144446,15.344805,30.316620,67.857667,-789.415034,-66.798366,71.976674,188.217378,870.024248,NaN,NaN,NaN,NaN,NaN
RRM,58.000000,0.000000,-188.749155,-8.301420,11.057458,42.281561,160.632649,-14.919609,2.040283,8.920836,24.691972,84.141613,-379.526541,-48.034696,-9.482379,18.819824,263.523711,NaN,NaN,NaN,NaN,NaN
CRRM,58.000000,0.000000,-79.194372,-3.064809,10.179762,39.947929,134.880921,-4.449992,1.382646,7.886395,22.732970,81.798739,-84.817657,-12.915663,2.921869,16.617643,97.002215,NaN,NaN,NaN,NaN,NaN
ETM,59.000000,0.000000,-124.180050,-91.715649,-60.591293,-23.663496,7.551362,-148.545249,-92.332957,-41.922679,-15.052275,13.076966,-86.255779,-55.222312,-5.455256,0.818149,27.412248,-229.947160,71.261947,338.357049,1640.720933,5541.420339
ERTM,59.000000,0.000000,-100.803253,-11.745224,4.335287,30.056792,97.359418,-98.395590,-6.082144,-2.372032,7.774110,43.542935,-75.778617,-8.699532,6.232771,22.399915,77.488737,-91.830666,-67.546501,-6.365816,156.458090,633.696492
RTM,59.000000,0.000000,-140.398721,7.856302,23.024465,61.372775,183.521685,-7.785114,-0.089946,6.352141,21.597671,79.836889,-125.860618,4.624208,17.067846,38.275442,136.506806,NaN,NaN,NaN,NaN,NaN
CERRM,59.000000,0.000000,-100.200624,-22.600797,2.369787,19.679644,70.756087,-103.347962,-2.964167,1.591284,13.359620,55.595182,-100.971817,-24.413574,-0.427855,7.701471,44.465163,-147.430464,-97.901401,-72.507967,30.787860,760.060463
ERRM,59.000000,0.000000,-99.990851,-49.582683,3.358024,25.564001,121.232855,-617.799276,-8.464200,2.613585,19.629391,133.621289,-176.203016,-45.363321,-8.102329,13.053873,184.950676,-117.973524,-99.239424,-89.608496,-33.492661,594.665851
TM,59.000000,0.000000,-1008.385731,-72.943492,81.007882,246.674992,1137.531693,-24.337112,3.872111,15.451435,30.268046,67.698456,-739.984264,-66.417345,71.345554,191.709648,851.954631,NaN,NaN,NaN,NaN,NaN
RRM,59.000000,0.000000,-178.127878,-8.925592,11.264621,42.502429,162.850728,-14.473679,1.948447,8.902084,25.031063,85.477126,-377.015659,-47.554960,-9.543754,20.048007,268.016504,NaN,NaN,NaN,NaN,NaN
CRRM,59.000000,0.000000,-85.112192,-3.521770,10.215717,40.463751,135.500785,-4.238610,1.326040,7.705607,22.750584,82.068397,-95.377851,-13.602799,3.005860,16.420666,101.018053,NaN,NaN,NaN,NaN,NaN
ETM,60.000000,0.000000,-124.115445,-93.016093,-61.100978,-23.403845,11.058485,-149.352763,-94.526218,-42.767264,-15.280851,14.600267,-87.813752,-54.291720,-5.738216,0.436313,32.335566,-227.045736,79.338833,350.089627,1661.450570,5737.359433
ERTM,60.000000,0.000000,-100.312675,-11.287568,4.664522,30.285140,100.335636,-95.030288,-5.796701,-2.352946,7.954037,43.414307,-75.588110,-8.588379,6.468978,22.913263,78.413457,-92.584825,-67.682533,-5.815526,155.591467,634.541192
RTM,60.000000,0.000000,-137.682403,8.333524,23.456803,62.515712,177.177675,-7.977769,-0.111304,6.342087,21.208224,79.599009,-124.563477,5.510236,17.426848,39.269959,133.800452,NaN,NaN,NaN,NaN,NaN
CERRM,60.000000,0.000000,-100.069212,-21.773890,2.403012,19.746165,72.567103,-102.345444,-2.757788,1.614704,13.866721,53.641122,-103.289008,-23.776333,-0.249907,7.672693,44.582650,-153.648334,-98.510624,-72.514638,29.180362,788.258260
ERRM,60.000000,0.000000,-99.991709,-54.470284,3.375689,25.486589,120.762042,-621.084833,-10.954332,2.594412,19.483751,133.530312,-185.401778,-47.289306,-7.914297,13.381971,192.812989,-125.325872,-99.366899,-90.312553,-39.408805,578.863478
TM,60.000000,0.000000,-1046.220600,-74.691306,80.793649,247.140127,1155.469481,-24.479984,4.591828,15.569761,30.311161,71.602006,-778.320438,-68.462308,70.494329,190.193981,867.666928,NaN,NaN,NaN,NaN,NaN
RRM,60.000000,0.000000,-175.033421,-9.485235,11.036565,42.081260,159.991590,-15.464228,1.972370,8.818981,25.174748,85.496382,-404.481827,-49.023628,-9.672687,19.419735,269.898824,NaN,NaN,NaN,NaN,NaN
CRRM,60.000000,0.000000,-79.856774,-3.629999,10.464118,40.539375,130.251234,-4.934682,1.343765,7.864091,22.518816,81.556505,-86.081683,-13.569336,2.736510,16.869951,92.408512,NaN,NaN,NaN,NaN,NaN
