FitMethod,TemporalRes,sigmaC,q5Kt,q25Kt,q50Kt,q75Kt,q95Kt,q5Ve,q25Ve,q50Ve,q75Ve,q95Ve,q5Kep,q25Kep,q50Kep,q75Kep,q95Kep,q5Vp,q25Vp,q50Vp,q75Vp,q95Vp
ERTM,4.000000,0.000000,-14.315663,-4.522074,-1.644958,-0.146872,0.788844,-5.866099,-1.890465,-0.355097,-0.089908,1.227497,-10.374912,-3.081607,-0.987995,0.004928,0.744787,-0.603990,6.905626,7.511803,8.635107,10.673894
RTM,4.000000,0.000000,2.926026,5.959742,23.442678,66.626699,268.771446,-4.702130,1.643445,6.641557,23.758568,71.463367,1.736334,4.127992,14.807504,38.709848,111.592508,NaN,NaN,NaN,NaN,NaN
CERRM,4.000000,0.000000,-1.023899,-0.071759,-0.010238,0.009751,0.142696,-0.517720,-0.053394,-0.015047,-0.001160,0.064578,-0.497863,-0.027685,0.006481,0.022282,0.103258,-0.369558,-0.057107,0.089283,0.675470,4.754762
ERRM,4.000000,0.000000,-1.690230,-0.090827,0.023061,0.166539,17.395979,-0.797452,-0.053110,-0.004997,0.055957,17.398782,-364.508791,-0.329858,-0.038618,0.080870,0.551128,-0.565385,-0.176922,-0.020293,0.768603,5.672191
TM,4.000000,0.000000,2.796466,5.937266,23.150538,66.560125,265.019140,-4.695028,1.671442,6.660814,23.795172,71.497844,1.657296,3.919314,14.714643,38.580420,110.198851,NaN,NaN,NaN,NaN,NaN
RRM,4.000000,0.000000,-66.008633,6.921404,24.323763,98.507200,318.068859,-17.981153,2.539981,10.046618,25.622835,52.387169,-2135.514430,-18.154594,8.820751,58.642996,195.990178,NaN,NaN,NaN,NaN,NaN
CRRM,4.000000,0.000000,3.505347,7.577590,26.979073,68.588011,290.794008,-6.121414,1.983466,6.570262,24.067918,72.111836,5.444308,8.662477,20.427175,47.366330,143.969800,NaN,NaN,NaN,NaN,NaN
ETM,5.000000,0.000000,-0.309760,-0.093837,0.081733,0.291510,0.885115,-0.244881,-0.060123,-0.018009,0.018686,0.115274,-0.114776,-0.057379,0.112981,0.270069,0.821522,-2.803736,-0.279783,-0.008935,0.287675,3.205974
ERTM,5.000000,0.000000,-18.842647,-6.227403,-2.228779,-0.183555,1.173365,-8.099550,-2.563401,-0.471338,-0.123492,1.805376,-14.800160,-4.297543,-1.324082,0.022284,1.093976,-1.843305,9.112481,10.175034,11.847087,15.073296
RTM,5.000000,0.000000,3.010069,6.121122,23.850606,66.725311,270.227789,-4.724957,1.631583,6.615839,23.749714,71.455341,1.841488,4.289948,14.966407,38.964789,113.427312,NaN,NaN,NaN,NaN,NaN
CERRM,5.000000,0.000000,-1.556354,-0.100340,-0.008416,0.027585,0.193723,-0.786762,-0.074458,-0.019248,0.000253,0.078393,-0.791406,-0.041314,0.012521,0.043123,0.184909,-0.420481,-0.130163,0.116580,1.048122,7.255206
ERRM,5.000000,0.000000,-2.204498,-0.125684,0.041266,0.276952,14.273096,-1.086623,-0.075196,-0.003169,0.081606,14.278336,-302.535075,-0.533568,-0.057924,0.130543,0.809753,-0.692082,-0.301249,-0.066945,1.196391,8.710269
TM,5.000000,0.000000,2.831186,5.963295,23.178101,66.535675,265.094448,-4.699038,1.662474,6.635306,23.784941,71.480442,1.717179,4.050682,14.670007,38.626751,110.362682,NaN,NaN,NaN,NaN,NaN
RRM,5.000000,0.000000,-17.097246,7.537710,24.188247,97.826576,303.592143,-17.963183,2.541958,10.048181,25.673203,62.719372,-693.928018,-17.395406,9.875215,58.646114,195.061551,NaN,NaN,NaN,NaN,NaN
CRRM,5.000000,0.000000,3.505292,7.574045,26.959515,68.564355,290.461223,-6.120623,1.983744,6.554849,24.073214,72.125854,5.446386,8.659977,20.422802,47.289981,141.197236,NaN,NaN,NaN,NaN,NaN
ETM,6.000000,0.000000,-1.554368,-0.324864,0.048007,0.588603,2.328729,-1.075394,-0.219330,-0.025109,0.175263,0.849539,-0.493914,-0.111972,0.101004,0.412005,1.448529,-18.913828,-1.981347,-0.037723,2.052968,21.040841
ERTM,6.000000,0.000000,-22.659560,-7.979891,-2.474932,-0.204680,1.601613,-11.405873,-3.106371,-0.513887,-0.144286,2.347730,-18.230880,-4.937928,-1.546785,0.066436,1.632294,-4.536208,10.171542,12.371084,14.491869,19.524718
RTM,6.000000,0.000000,3.102240,6.343904,24.378013,66.874023,271.770844,-4.757294,1.617408,6.568697,23.736932,71.414704,1.964161,4.454572,15.146801,39.283509,114.597933,NaN,NaN,NaN,NaN,NaN
CERRM,6.000000,0.000000,-2.156344,-0.154672,-0.004644,0.053292,0.363120,-1.069367,-0.099225,-0.020405,0.001758,0.134951,-1.093537,-0.064930,0.014876,0.065802,0.304033,-0.576851,-0.191388,0.072719,1.503720,10.393110
ERRM,6.000000,0.000000,-3.173739,-0.187746,0.051296,0.504251,18.601432,-1.545930,-0.110345,-0.002971,0.151259,18.609923,-254.013823,-0.679444,-0.090972,0.153858,1.297498,-1.032794,-0.500397,-0.113753,1.703669,12.662772
TM,6.000000,0.000000,2.869988,5.988952,23.306073,66.613297,265.603966,-4.706613,1.663589,6.623577,23.788381,71.479425,1.749647,4.113305,14.732858,38.843022,110.926675,NaN,NaN,NaN,NaN,NaN
RRM,6.000000,0.000000,-21.289477,8.063830,26.104667,98.807486,318.053643,-17.945773,2.548594,10.032372,25.754998,70.798081,-650.560677,-10.078774,10.232068,60.674052,299.810822,NaN,NaN,NaN,NaN,NaN
CRRM,6.000000,0.000000,3.477181,7.510730,26.831861,68.411433,288.271129,-6.102528,1.979018,6.489656,24.064616,72.062385,5.347298,8.538758,20.222738,47.018875,138.178282,NaN,NaN,NaN,NaN,NaN
ETM,7.000000,0.000000,-5.181542,-1.381824,0.002007,1.673846,6.541140,-2.577921,-0.545924,-0.045235,0.472319,2.359677,-3.225467,-1.060568,0.109565,1.400918,4.590739,-50.688059,-5.105762,0.055993,5.353085,49.272271
ERTM,7.000000,0.000000,-27.016843,-8.781442,-2.313841,-0.157571,2.197897,-14.693086,-3.293786,-0.602367,-0.146112,2.922838,-19.250262,-5.562593,-1.458856,0.138643,2.097441,-7.271352,8.665807,13.145086,18.242348,25.582844
RTM,7.000000,0.000000,3.173998,6.459325,24.651451,66.759035,259.564634,-4.748442,1.610451,6.636502,23.719828,71.372979,2.078852,4.618182,15.390388,39.778653,121.019771,NaN,NaN,NaN,NaN,NaN
CERRM,7.000000,0.000000,-2.515161,-0.399987,-0.055314,0.122483,1.551330,-1.482148,-0.255470,-0.042072,0.036284,0.817737,-1.450642,-0.115307,0.007489,0.132174,1.170749,-2.794345,-1.082533,0.830896,2.604089,13.109293
ERRM,7.000000,0.000000,-6.796887,-0.578969,-0.064239,0.634987,17.978694,-3.579274,-0.357634,-0.036113,0.267929,9.239610,-163.711730,-0.617041,-0.083770,0.272388,3.066846,-3.683104,-1.631224,0.685230,3.004167,17.858012
TM,7.000000,0.000000,2.419214,6.635728,24.619674,67.334587,256.716939,-4.871450,1.704028,6.647627,23.784029,71.540427,1.056327,4.347303,15.192998,39.643087,115.747909,NaN,NaN,NaN,NaN,NaN
RRM,7.000000,0.000000,2.658915,8.112313,26.196121,99.191279,326.070699,-6.413478,2.558573,10.028909,25.766237,99.658073,-511.801021,2.512899,10.385776,60.927735,330.902004,NaN,NaN,NaN,NaN,NaN
CRRM,7.000000,0.000000,3.468472,7.512833,26.508771,68.762413,266.004203,-6.039240,1.982000,6.522049,24.070452,72.034464,5.359720,8.605464,20.061771,47.668217,143.911763,NaN,NaN,NaN,NaN,NaN
ETM,8.000000,0.000000,-10.427102,-3.099228,-0.468087,2.913527,13.483865,-4.838795,-1.129658,-0.131351,0.837090,4.725880,-6.904878,-2.351478,-0.243423,2.641078,9.788007,-93.398847,-9.079831,0.188951,10.572471,96.990605
ERTM,8.000000,0.000000,-31.043841,-8.522350,-1.752609,-0.065088,2.951852,-16.747832,-3.023828,-0.575086,-0.105979,3.197506,-21.038474,-5.400036,-1.086727,0.257019,2.477554,-15.799287,3.806196,13.090660,23.668565,35.093939
RTM,8.000000,0.000000,3.235475,6.555041,24.947754,66.982709,248.653674,-4.836291,1.598563,6.433168,23.717034,71.263610,2.161564,4.807656,15.774966,41.140308,130.819368,NaN,NaN,NaN,NaN,NaN
CERRM,8.000000,0.000000,-4.459169,-0.705637,-0.070592,0.365350,3.359693,-2.802218,-0.423399,-0.050929,0.152898,1.996761,-2.574664,-0.237139,0.027146,0.305914,2.259109,-5.889340,-3.088731,1.251431,4.862699,16.896544
