FitMethod,TemporalRes,sigmaC,errKt,errVe,errKep,errVp,stdKt,stdVe,stdKep,stdVp
ETM,1.000000,0.000000,0.008916,-0.000387,0.009304,-0.007859,0.038775,0.003581,0.041743,0.209690
ERTM,1.000000,0.000000,-0.261655,-0.100757,-0.161246,0.540913,0.378354,0.207746,0.251901,0.314145
RTM,1.000000,0.000000,56.160737,16.215661,30.071883,NaN,78.110539,24.373899,39.325384,NaN
ERRM,1.000000,0.000000,7.585222,7.581502,-21.180915,0.054248,72.533508,72.580642,224.941689,0.185819
CERRM,1.000000,0.000000,-0.006398,-0.003996,-0.001798,0.048899,0.028460,0.018681,0.021019,0.144060
TM,1.000000,0.000000,56.105763,16.217289,30.033971,NaN,78.018437,24.374236,39.299740,NaN
RRM,1.000000,0.000000,-36.689334,9.491460,1144.692732,NaN,18817.394737,78.400572,56735.549687,NaN
CRRM,1.000000,0.000000,63.274143,16.435067,39.184467,NaN,89.613985,24.673054,44.219508,NaN
ETM-NN,1.000000,0.000000,0.008916,-0.000387,0.009304,-0.007859,0.038775,0.003581,0.041743,0.209690
ERTM-NN,1.000000,0.000000,-0.261655,-0.100757,-0.161246,0.540913,0.378354,0.207746,0.251901,0.314145
RTM-NN,1.000000,0.000000,56.160737,16.215661,30.071883,NaN,78.110539,24.373899,39.325384,NaN
ERRM-NN,1.000000,0.000000,0.517986,-6.227412,-2.721694,0.058972,13.754399,24.156308,67.945989,0.183501
CERRM-NN,1.000000,0.000000,-0.006848,-0.004156,-0.002194,0.050703,0.029045,0.018861,0.021257,0.147351
TM-NN,1.000000,0.000000,56.105763,16.217289,30.033971,NaN,78.018437,24.374236,39.299740,NaN
ETM,2.000000,0.000000,0.033863,-0.001674,0.035542,-0.035528,0.083721,0.007106,0.089049,0.406191
ERTM,2.000000,0.000000,-0.998951,-0.385751,-0.618467,2.055635,1.453040,0.805766,0.964493,1.227927
RTM,2.000000,0.000000,56.351938,16.209390,30.209212,NaN,78.390923,24.372475,39.403366,NaN
ERRM,2.000000,0.000000,6.611026,6.598178,-25.282686,0.230489,59.719679,59.799059,189.860175,0.702776
CERRM,2.000000,0.000000,-0.028546,-0.016473,-0.010490,0.210493,0.096837,0.053293,0.058853,0.572003
TM,2.000000,0.000000,56.148469,16.215281,30.067335,NaN,78.064226,24.374406,39.311735,NaN
RRM,2.000000,0.000000,27.120402,9.243324,-106.524456,NaN,2650.433251,82.113005,8094.076039,NaN
CRRM,2.000000,0.000000,62.717999,16.420108,38.499422,NaN,88.643368,24.652466,43.787744,NaN
ETM-NN,2.000000,0.000000,0.033863,-0.001674,0.035542,-0.035528,0.083721,0.007106,0.089049,0.406191
ERTM-NN,2.000000,0.000000,-0.998951,-0.385751,-0.618467,2.055635,1.453040,0.805766,0.964493,1.227927
RTM-NN,2.000000,0.000000,56.351938,16.209390,30.209212,NaN,78.390923,24.372475,39.403366,NaN
ERRM-NN,2.000000,0.000000,-0.156254,-6.604020,1.778584,0.237460,13.879564,24.242779,71.334022,0.699927
CERRM-NN,2.000000,0.000000,-0.029187,-0.016701,-0.011055,0.213069,0.097888,0.053672,0.059384,0.576971
TM-NN,2.000000,0.000000,56.148469,16.215281,30.067335,NaN,78.064226,24.374406,39.311735,NaN
ETM,3.000000,0.000000,0.072395,-0.005222,0.077634,-0.047082,0.134856,0.010993,0.143693,0.610040
ERTM,3.000000,0.000000,-2.088649,-0.811488,-1.301466,4.268633,3.068488,1.729472,2.030570,2.666896
RTM,3.000000,0.000000,56.629272,16.200004,30.410003,NaN,78.793029,24.371173,39.516522,NaN
ERRM,3.000000,0.000000,6.446779,6.414082,-26.362603,0.522051,51.590190,51.674523,153.710318,1.547285
CERRM,3.000000,0.000000,-0.063336,-0.036516,-0.023504,0.472742,0.206093,0.107617,0.115068,1.270985
TM,3.000000,0.000000,56.218456,16.212334,30.122641,NaN,78.134876,24.374855,39.329111,NaN
RRM,3.000000,0.000000,34.214076,8.386653,-136.212767,NaN,856.431035,93.963487,2383.769501,NaN
CRRM,3.000000,0.000000,62.560157,16.419252,38.366393,NaN,88.280078,24.652086,43.647443,NaN
ETM-NN,3.000000,0.000000,0.072395,-0.005222,0.077634,-0.047082,0.134856,0.010993,0.143693,0.610040
ERTM-NN,3.000000,0.000000,-2.088649,-0.811488,-1.301466,4.268633,3.068488,1.729472,2.030570,2.666896
RTM-NN,3.000000,0.000000,56.629272,16.200004,30.410003,NaN,78.793029,24.371173,39.516522,NaN
ERRM-NN,3.000000,0.000000,0.385724,-8.391238,-0.092174,0.529886,12.616543,27.360896,60.373726,1.544376
CERRM-NN,3.000000,0.000000,-0.063847,-0.036697,-0.023956,0.474800,0.206963,0.107951,0.115542,1.274984
TM-NN,3.000000,0.000000,56.218456,16.212334,30.122641,NaN,78.134876,24.374855,39.329111,NaN
ETM,4.000000,0.000000,0.113448,-0.013715,0.127220,-0.025820,0.178112,0.023629,0.197483,0.869087
ERTM,4.000000,0.000000,-3.343587,-1.313339,-2.097472,6.765934,4.990981,2.869513,3.291547,4.526810
RTM,4.000000,0.000000,56.955364,16.189047,30.646282,NaN,79.261253,24.369558,39.645169,NaN
ERRM,4.000000,0.000000,6.453704,6.394948,-26.667056,0.928433,44.865536,44.942134,129.578759,2.721606
CERRM,4.000000,0.000000,-0.112414,-0.065663,-0.041210,0.840143,0.356730,0.181112,0.194393,2.246583
TM,4.000000,0.000000,56.305820,16.207983,30.191818,NaN,78.220606,24.374343,39.347403,NaN
RRM,4.000000,0.000000,38.724499,7.787765,-92.432025,NaN,333.226311,107.349807,999.768772,NaN
CRRM,4.000000,0.000000,62.216334,16.414646,38.017511,NaN,87.576654,24.645805,43.358055,NaN
ETM-NN,4.000000,0.000000,0.113448,-0.013715,0.127220,-0.025820,0.178112,0.023629,0.197483,0.869087
ERTM-NN,4.000000,0.000000,-3.343587,-1.313339,-2.097472,6.765934,4.990981,2.869513,3.291547,4.526810
RTM-NN,4.000000,0.000000,56.955364,16.189047,30.646282,NaN,79.261253,24.369558,39.645169,NaN
ERRM-NN,4.000000,0.000000,1.060957,-8.004587,-2.342144,0.936857,11.732200,26.944217,49.478842,2.718534
CERRM-NN,4.000000,0.000000,-0.112114,-0.065557,-0.040944,0.838932,0.356218,0.180908,0.194105,2.244233
TM-NN,4.000000,0.000000,56.305820,16.207983,30.191818,NaN,78.220606,24.374343,39.347403,NaN
ETM,5.000000,0.000000,0.144559,-0.033380,0.177784,0.094913,0.410403,0.130693,0.329182,1.951941
ERTM,5.000000,0.000000,-4.558079,-1.819421,-2.876387,9.082279,6.966376,4.087653,4.583682,6.734292
RTM,5.000000,0.000000,57.287892,16.177463,30.890148,NaN,79.717285,24.368075,39.770308,NaN
ERRM,5.000000,0.000000,5.277568,5.180521,-22.998163,1.434494,37.018666,37.082727,108.334444,4.183003
CERRM,5.000000,0.000000,-0.165743,-0.098624,-0.058097,1.287622,0.539240,0.268838,0.290932,3.443390
TM,5.000000,0.000000,56.412411,16.203609,30.274544,NaN,78.329657,24.374517,39.371476,NaN
RRM,5.000000,0.000000,50.916249,3.177682,-50.491727,NaN,177.573741,195.155249,478.388237,NaN
CRRM,5.000000,0.000000,62.019194,16.417245,37.900364,NaN,87.053456,24.648932,43.164990,NaN
ETM-NN,5.000000,0.000000,0.144559,-0.033380,0.177784,0.094913,0.410403,0.130693,0.329182,1.951941
ERTM-NN,5.000000,0.000000,-4.558079,-1.819421,-2.876387,9.082279,6.966376,4.087653,4.583682,6.734292
RTM-NN,5.000000,0.000000,57.287892,16.177463,30.890148,NaN,79.717285,24.368075,39.770308,NaN
ERRM-NN,5.000000,0.000000,1.154201,-7.977313,-3.617734,1.442352,11.390325,26.888823,44.659624,4.180166
CERRM-NN,5.000000,0.000000,-0.165692,-0.098606,-0.058052,1.287418,0.539155,0.268804,0.290883,3.442995
TM-NN,5.000000,0.000000,56.412411,16.203609,30.274544,NaN,78.329657,24.374517,39.371476,NaN
ETM,6.000000,0.000000,0.174987,-0.057402,0.228814,0.327150,1.271954,0.650050,0.666241,11.959796
ERTM,6.000000,0.000000,-5.533808,-2.264125,-3.505164,10.803539,8.837912,5.287446,5.804812,9.406900
RTM,6.000000,0.000000,57.605852,16.164528,31.131369,NaN,80.115525,24.367309,39.887779,NaN
ERRM,6.000000,0.000000,5.869211,5.725256,-24.102293,2.023890,39.808165,39.930504,125.489925,5.983378
CERRM,6.000000,0.000000,-0.235350,-0.139262,-0.085432,1.856024,0.878659,0.446842,0.453289,4.989491
TM,6.000000,0.000000,56.534312,16.198284,30.369904,NaN,78.468969,24.375374,39.412558,NaN
RRM,6.000000,0.000000,46.541205,6.699161,-68.318173,NaN,573.484223,115.120581,1662.930437,NaN
CRRM,6.000000,0.000000,61.589245,16.414535,37.530782,NaN,86.086163,24.646253,42.799656,NaN
ETM-NN,6.000000,0.000000,0.174987,-0.057402,0.228814,0.327150,1.271954,0.650050,0.666241,11.959796
ERTM-NN,6.000000,0.000000,-5.533808,-2.264125,-3.505164,10.803539,8.837912,5.287446,5.804812,9.406900
RTM-NN,6.000000,0.000000,57.605852,16.164528,31.131369,NaN,80.115525,24.367309,39.887779,NaN
ERRM-NN,6.000000,0.000000,1.275603,-8.878846,-2.334110,2.036789,12.191754,28.178638,60.800804,5.978500
CERRM-NN,6.000000,0.000000,-0.235215,-0.139214,-0.085311,1.855474,0.878466,0.446765,0.453170,4.988435
TM-NN,6.000000,0.000000,56.534312,16.198284,30.369904,NaN,78.468969,24.375374,39.412558,NaN
ETM,7.000000,0.000000,0.268652,-0.071278,0.310917,0.003783,3.901469,1.643597,2.553855,29.760533
ERTM,7.000000,0.000000,-6.202136,-2.609117,-3.957968,11.779980,10.679640,6.603809,7.094519,13.403901
RTM,7.000000,0.000000,57.881777,16.152362,31.347679,NaN,80.473075,24.365591,39.999322,NaN
ERRM,7.000000,0.000000,4.473531,4.362652,-15.220316,2.651029,49.916646,51.105407,179.743664,8.491374
CERRM,7.000000,0.000000,-0.239291,-0.160274,-0.055933,2.290480,1.973410,0.889173,1.331427,6.941815
TM,7.000000,0.000000,56.724728,16.193142,30.498147,NaN,78.894738,24.379251,39.583667,NaN
RRM,7.000000,0.000000,34.174415,13.688247,-129.264552,NaN,963.689627,86.629791,2678.494596,NaN
CRRM,7.000000,0.000000,61.267525,16.419576,37.358255,NaN,85.360775,24.651766,42.574503,NaN
ETM-NN,7.000000,0.000000,0.255571,-0.077246,0.304546,0.181188,3.859868,1.625408,2.536636,29.075156
ERTM-NN,7.000000,0.000000,-6.202514,-2.609288,-3.958150,11.783415,10.678918,6.603612,7.094193,13.374907
RTM-NN,7.000000,0.000000,57.881777,16.152362,31.347679,NaN,80.473075,24.365591,39.999322,NaN
ERRM-NN,7.000000,0.000000,0.099213,-3.600323,8.235865,2.708680,13.308516,17.645214,86.091813,8.469701
CERRM-NN,7.000000,0.000000,-0.239133,-0.160219,-0.055790,2.289836,1.973332,0.889129,1.331390,6.940701
TM-NN,7.000000,0.000000,56.724728,16.193142,30.498147,NaN,78.894738,24.379251,39.583667,NaN
ETM,8.000000,0.000000,0.545988,-0.078608,0.490107,0.866774,8.638988,3.250632,5.715644,57.559069
ERTM,8.000000,0.000000,-6.455544,-2.834525,-4.265587,11.992230,13.135850,8.841248,9.312239,20.263263
RTM,8.000000,0.000000,58.215691,16.139431,31.594227,NaN,81.265448,24.368100,40.316315,NaN
ERRM,8.000000,0.000000,2.524320,2.479654,3.765623,3.283242,63.506555,70.223461,251.959968,12.458162
CERRM,8.000000,0.000000,-0.216244,-0.178554,-0.008087,2.767694,3.644012,1.809260,2.406904,10.250649
TM,8.000000,0.000000,57.099807,16.189676,30.764883,NaN,79.684287,24.385639,40.005212,NaN
RRM,8.000000,0.000000,17.892097,16.632894,-195.416553,NaN,980.652524,137.829735,2756.323900,NaN
CRRM,8.000000,0.000000,60.844147,16.418406,36.992871,NaN,85.052863,24.655910,42.594371,NaN
ETM-NN,8.000000,0.000000,0.346381,-0.163753,0.395004,3.468062,8.071854,3.037961,5.481162,50.153937
ERTM-NN,8.000000,0.000000,-6.471302,-2.841549,-4.273087,12.132869,13.106638,8.833959,9.300088,19.265629
RTM-NN,8.000000,0.000000,58.215691,16.139431,31.594227,NaN,81.265448,24.368100,40.316315,NaN
ERRM-NN,8.000000,0.000000,-1.449734,-3.108573,25.461852,3.406928,14.559282,16.000869,145.840809,12.386931
CERRM-NN,8.000000,0.000000,-0.216244,-0.178554,-0.008087,2.767694,3.644012,1.809260,2.406904,10.250649
TM-NN,8.000000,0.000000,57.099807,16.189676,30.764883,NaN,79.684287,24.385639,40.005212,NaN
ETM,9.000000,0.000000,1.674047,-0.007468,1.193699,1.188050,17.547102,5.654631,11.831038,99.436597
ERTM,9.000000,0.000000,-6.166490,-3.103903,-4.755325,11.422663,15.971361,13.778596,15.072600,32.272523
RTM,9.000000,0.000000,59.034655,16.129802,32.068006,NaN,84.973272,24.374313,41.781136,NaN
ERRM,9.000000,0.000000,2.294690,3.488709,7.058170,3.802676,65.851226,132.622458,356.849912,19.631740
CERRM,9.000000,0.000000,0.054427,-0.173359,0.175113,3.173983,8.916392,4.088296,5.646185,18.760856
TM,9.000000,0.000000,58.181075,16.205991,31.533218,NaN,82.090902,24.392989,41.434990,NaN
RRM,9.000000,0.000000,44.139769,17.130175,-81.745824,NaN,576.477884,105.553767,1725.325674,NaN
CRRM,9.000000,0.000000,60.651258,16.410819,36.426878,NaN,87.620803,24.644794,43.741216,NaN
ETM-NN,9.000000,0.000000,0.845562,-0.328901,0.810755,10.752254,15.412009,4.969902,10.986177,76.901974
ERTM-NN,9.000000,0.000000,-6.405630,-2.840359,-4.576472,12.049063,16.176659,13.723947,12.681176,27.242746
RTM-NN,9.000000,0.000000,59.034655,16.129802,32.068006,NaN,84.973272,24.374313,41.781136,NaN
ERRM-NN,9.000000,0.000000,-0.862965,-3.749631,30.749110,4.031604,20.390994,18.426816,181.640208,19.350879
CERRM-NN,9.000000,0.000000,0.054427,-0.173359,0.175113,3.173983,8.916392,4.088296,5.646185,18.760856
TM-NN,9.000000,0.000000,58.181075,16.205991,31.533218,NaN,82.090902,24.392989,41.434990,NaN
ETM,10.000000,0.000000,1.858115,-0.659725,1.681086,10.076443,24.843194,8.178244,17.926640,147.195908
ERTM,10.000000,0.000000,-5.333304,-2.719309,-5.410845,10.505054,19.114828,32.787283,22.050726,47.135128
RTM,10.000000,0.000000,60.463103,16.126539,32.916634,NaN,92.531530,24.396752,45.193662,NaN
ERRM,10.000000,0.000000,2.502645,2.404587,14.294157,4.318704,48.683570,74.597617,327.281847,28.576350
CERRM,10.000000,0.000000,-0.290233,-0.557989,-0.255668,4.292516,14.089964,8.427586,10.159973,30.544405
TM,10.000000,0.000000,61.186842,16.204016,33.562137,NaN,90.639759,24.449552,46.237066,NaN
RRM,10.000000,0.000000,45.858190,17.234471,-35.089286,NaN,449.621554,87.711253,1247.143942,NaN
CRRM,10.000000,0.000000,61.003062,16.418310,36.457387,NaN,92.039878,24.668742,46.080236,NaN
ETM-NN,10.000000,0.000000,0.598232,-1.134054,1.093302,26.283635,22.371087,7.453243,16.973077,114.624090
ERTM-NN,10.000000,0.000000,-6.208951,-2.890943,-4.765837,11.969406,18.859257,35.666544,15.130789,36.528407
RTM-NN,10.000000,0.000000,60.463103,16.126539,32.916634,NaN,92.531530,24.396752,45.193662,NaN
ERRM-NN,10.000000,0.000000,0.379680,-2.919354,33.384476,4.609058,27.629861,18.124018,211.554005,28.272262
CERRM-NN,10.000000,0.000000,-0.304110,-0.349925,-0.239677,4.388103,14.070504,7.012296,9.914024,30.055716
TM-NN,10.000000,0.000000,61.186842,16.204016,33.562137,NaN,90.639759,24.449552,46.237066,NaN
ETM,11.000000,0.000000,2.328593,-1.761901,1.988474,16.932841,34.942501,13.637356,25.873234,215.386624
ERTM,11.000000,0.000000,-4.511677,-2.946347,-5.917941,8.175652,23.680162,23.115698,26.018272,66.757983
RTM,11.000000,0.000000,61.285086,16.114352,33.401466,NaN,99.322796,24.404401,48.529360,NaN
ERRM,11.000000,0.000000,2.750379,2.587952,9.404215,5.068235,55.105964,80.736520,307.334946,37.723703
CERRM,11.000000,0.000000,-0.835275,-0.901759,-0.946349,5.261806,17.672107,11.548185,13.571889,43.333572
TM,11.000000,0.000000,66.110868,16.285155,36.888646,NaN,102.300152,24.562052,53.153021,NaN
RRM,11.000000,0.000000,48.074601,23.627822,-40.855385,NaN,356.824849,626.938236,977.713665,NaN
CRRM,11.000000,0.000000,59.814506,16.419954,35.547321,NaN,92.628173,24.685568,47.186580,NaN
ETM-NN,11.000000,0.000000,0.367465,-2.462976,1.084518,42.373963,31.401795,12.854506,24.555882,169.961456
ERTM-NN,11.000000,0.000000,-6.001998,-3.639969,-5.104795,11.413135,21.179468,30.609225,17.587845,45.634404
RTM-NN,11.000000,0.000000,61.285086,16.114352,33.401466,NaN,99.322796,24.404401,48.529360,NaN
ERRM-NN,11.000000,0.000000,1.190327,-2.454634,28.805409,5.465089,46.125606,19.218311,200.831509,37.396803
CERRM-NN,11.000000,0.000000,-0.911178,-0.701431,-0.929485,5.756493,17.531736,13.094415,13.103067,41.391043
TM-NN,11.000000,0.000000,66.110868,16.285155,36.888646,NaN,102.300152,24.562052,53.153021,NaN
ETM,12.000000,0.000000,2.211654,-3.244539,1.979233,35.625662,43.180627,20.191798,32.712118,288.055073
ERTM,12.000000,0.000000,-3.136848,-2.857608,-6.358685,6.479014,42.860264,34.675816,31.335813,88.002336
RTM,12.000000,0.000000,61.909300,16.199331,33.873982,NaN,106.262338,25.033730,52.428890,NaN
ERRM,12.000000,0.000000,2.672472,1.200409,13.041950,6.566501,61.363816,59.054798,249.341365,48.063671
CERRM,12.000000,0.000000,-1.309094,-1.483174,-1.363115,7.299611,20.337124,14.374019,16.415680,53.216178
TM,12.000000,0.000000,67.426139,16.307875,38.284756,NaN,108.914511,24.969609,59.946400,NaN
RRM,12.000000,0.000000,56.923991,15.354801,-19.684816,NaN,330.007072,62.421738,815.547774,NaN
CRRM,12.000000,0.000000,58.799598,16.413857,34.915337,NaN,98.882825,24.963616,51.312124,NaN
ETM-NN,12.000000,0.000000,-0.591002,-5.023040,0.732008,68.886427,37.430870,24.929892,30.734533,232.959558
ERTM-NN,12.000000,0.000000,-5.953545,-4.201195,-5.298528,11.607522,23.852436,42.170167,19.978570,55.614999
RTM-NN,12.000000,0.000000,62.015567,16.103397,33.925520,NaN,106.054442,24.899677,52.273301,NaN
ERRM-NN,12.000000,0.000000,1.423846,-1.933297,26.121268,6.872449,55.755831,22.422318,188.567310,47.885066
CERRM-NN,12.000000,0.000000,-1.403641,-1.511203,-1.320014,7.852387,20.181960,19.439407,15.787917,51.319502
TM-NN,12.000000,0.000000,67.577813,16.244927,38.379414,NaN,108.642672,24.850292,59.700794,NaN
ETM,13.000000,0.000000,2.065131,-4.459917,1.951359,66.607936,52.886839,21.370383,38.901127,385.903061
ERTM,13.000000,0.000000,-0.396540,-1.588070,-7.118733,5.595484,87.574507,129.071497,37.880401,103.542777
RTM,13.000000,0.000000,61.287360,16.119396,33.741799,NaN,110.323022,24.501261,55.629231,NaN
ERRM,13.000000,0.000000,3.791093,-0.250715,15.407211,7.497376,68.571465,98.164354,268.661482,58.874614
CERRM,13.000000,0.000000,-1.877628,-1.616763,-2.068210,9.509904,22.700124,17.250425,17.531791,63.873206
TM,13.000000,0.000000,71.039136,16.466027,40.832965,NaN,126.566710,25.351857,72.165446,NaN
RRM,13.000000,0.000000,58.008196,15.878019,-13.638001,NaN,283.485004,62.798255,690.857561,NaN
CRRM,13.000000,0.000000,57.023592,16.544259,33.633825,NaN,103.046668,27.167906,54.445666,NaN
ETM-NN,13.000000,0.000000,-1.565434,-6.797089,0.387144,105.455670,44.583481,27.912683,36.090345,327.547658
ERTM-NN,13.000000,0.000000,-5.480762,-1.442614,-5.590268,11.775901,26.303382,123.390011,22.052061,67.999548
RTM-NN,13.000000,0.000000,61.803410,15.904137,33.990067,NaN,109.024439,24.150131,54.769920,NaN
ERRM-NN,13.000000,0.000000,2.718818,-1.032968,29.804122,7.936179,64.279626,31.218353,211.680114,58.595371
CERRM-NN,13.000000,0.000000,-1.983874,-1.540979,-2.016243,10.079692,22.515516,21.564582,16.848691,62.073250
TM-NN,13.000000,0.000000,72.312186,16.228591,41.658008,NaN,123.906051,25.119010,69.925693,NaN
ETM,14.000000,0.000000,-0.383184,-6.994820,0.204296,100.726795,60.371504,25.632739,43.940946,504.946190
ERTM,14.000000,0.000000,0.278900,-45.919095,-6.387002,5.294016,68.581664,4991.834817,37.091835,146.971049
RTM,14.000000,0.000000,56.954944,16.120573,31.685375,NaN,111.308805,25.138523,58.274379,NaN
ERRM,14.000000,0.000000,1.468925,0.932274,11.482376,8.030052,53.913427,503.202503,258.138001,69.112410
CERRM,14.000000,0.000000,-1.647308,-1.535994,-2.132356,11.315916,25.258574,18.635377,18.847192,80.751003
TM,14.000000,0.000000,72.925532,16.397450,42.606721,NaN,150.464662,24.944346,89.127495,NaN
RRM,14.000000,0.000000,50.335407,16.323023,-18.991658,NaN,251.015381,90.037977,584.851162,NaN
CRRM,14.000000,0.000000,52.585448,16.435996,31.265673,NaN,108.456784,24.760577,58.967006,NaN
ETM-NN,14.000000,0.000000,-5.022787,-9.139022,-1.696083,148.789284,47.376190,30.409804,39.740391,432.872448
ERTM-NN,14.000000,0.000000,-4.757248,0.070456,-5.480106,15.215369,29.765026,149.138620,23.171228,96.027225
RTM-NN,14.000000,0.000000,59.064349,15.592095,32.698840,NaN,104.267857,24.186833,54.091151,NaN
ERRM-NN,14.000000,0.000000,1.231753,7.836138,26.881775,8.794753,49.643763,456.780905,183.140235,68.425866
CERRM-NN,14.000000,0.000000,-1.807263,-1.575221,-2.125348,12.284556,24.977000,22.017839,18.289082,78.427598
TM-NN,14.000000,0.000000,76.438838,15.901708,44.825264,NaN,143.068532,24.303080,83.568324,NaN
ETM,15.000000,0.000000,-1.799784,-10.205543,-0.675009,152.752889,72.557075,38.236139,49.560236,627.122640
ERTM,15.000000,0.000000,2.162910,-1.095411,-6.132721,4.691145,69.879989,192.345922,39.061531,224.811926
RTM,15.000000,0.000000,55.201993,16.002303,30.850552,NaN,111.732457,24.839437,59.798013,NaN
ERRM,15.000000,0.000000,0.252724,-13.125847,8.867763,7.435551,63.003813,230.119071,242.656789,78.138569
CERRM,15.000000,0.000000,-1.785339,-1.494126,-2.662492,12.798694,27.452058,20.733400,20.514536,106.441159
TM,15.000000,0.000000,71.912536,16.277445,42.810998,NaN,165.089369,26.569192,102.729637,NaN
RRM,15.000000,0.000000,46.052376,15.421547,-28.358298,NaN,241.014152,39.385916,525.230591,NaN
CRRM,15.000000,0.000000,50.644850,16.450917,29.798927,NaN,111.880512,24.840094,61.328408,NaN
ETM-NN,15.000000,0.000000,-7.624621,-12.869797,-2.910457,204.475900,52.305498,37.820312,43.413536,553.587724
ERTM-NN,15.000000,0.000000,-3.981615,1.873180,-5.522840,17.852171,32.679480,166.395965,25.258020,135.649959
RTM-NN,15.000000,0.000000,57.647185,15.460303,32.022313,NaN,102.544923,23.382559,54.629849,NaN
ERRM-NN,15.000000,0.000000,1.295025,2.783923,24.445502,8.580993,51.922155,113.260806,163.011855,76.914758
CERRM-NN,15.000000,0.000000,-2.062007,-1.861564,-2.694868,14.381339,26.891775,25.518170,19.905958,103.522389
TM-NN,15.000000,0.000000,78.843765,15.553362,47.081174,NaN,150.061790,23.808725,92.528707,NaN
ETM,16.000000,0.000000,-4.871984,-12.558616,-2.375459,210.305985,79.046102,35.923347,53.409120,755.669776
ERTM,16.000000,0.000000,3.593527,11.022472,-7.597331,10.825432,84.267543,1746.394187,44.700857,262.739516
RTM,16.000000,0.000000,54.008462,16.148415,30.387765,NaN,123.869779,24.701632,66.786939,NaN
ERRM,16.000000,0.000000,-0.227457,-16.236447,8.899363,9.235293,65.287761,671.218271,213.385022,90.156994
CERRM,16.000000,0.000000,-2.436803,-1.988791,-3.461167,18.520332,30.857818,23.719253,22.876485,136.166859
TM,16.000000,0.000000,70.698898,15.366036,42.703219,NaN,181.322507,148.025036,118.510044,NaN
RRM,16.000000,0.000000,47.232008,13.829386,-13.825786,NaN,253.137321,109.077396,467.656028,NaN
CRRM,16.000000,0.000000,49.983347,16.371190,29.384475,NaN,137.813779,25.101280,74.085331,NaN
ETM-NN,16.000000,0.000000,-11.343181,-15.655147,-4.821980,266.664363,56.859392,40.061223,46.630068,677.470195
ERTM-NN,16.000000,0.000000,-4.775345,13.069504,-6.557544,24.291918,35.796306,1762.274341,27.462425,162.048047
RTM-NN,16.000000,0.000000,57.871633,15.354371,32.258056,NaN,108.763446,23.362753,58.513171,NaN
ERRM-NN,16.000000,0.000000,1.292393,5.443955,21.865661,10.527001,54.343994,622.446992,147.981062,88.775931
CERRM-NN,16.000000,0.000000,-2.809903,-2.350303,-3.483478,20.288667,30.001166,29.108902,22.073115,132.086349
TM-NN,16.000000,0.000000,81.485513,15.502986,49.595976,NaN,158.033426,26.765782,102.646229,NaN
ETM,17.000000,0.000000,-6.945506,-15.736836,-4.491548,273.147950,104.400284,43.517272,60.742909,913.432720
ERTM,17.000000,0.000000,3.352644,-3.900719,-7.700408,16.392428,76.459207,458.541043,45.129081,292.005187
RTM,17.000000,0.000000,52.457384,16.081301,29.661747,NaN,120.370748,24.499773,66.664056,NaN
ERRM,17.000000,0.000000,-1.800469,-24.162792,7.413580,10.421784,75.400229,236.551258,217.094406,99.946313
CERRM,17.000000,0.000000,-2.534365,-1.571879,-3.819810,22.469822,32.304816,26.580210,24.274188,158.636148
TM,17.000000,0.000000,72.204082,16.833175,43.788178,NaN,230.300662,26.852049,152.784615,NaN
RRM,17.000000,0.000000,41.848738,15.041921,-23.923046,NaN,271.129584,49.104545,431.456415,NaN
CRRM,17.000000,0.000000,50.339375,16.422442,29.234572,NaN,167.602103,24.826425,87.461512,NaN
ETM-NN,17.000000,0.000000,-15.580317,-18.320884,-7.198541,334.666066,64.996682,41.854986,49.414283,821.332922
ERTM-NN,17.000000,0.000000,-4.586405,0.030884,-6.671013,30.483114,38.006934,440.167404,28.346784,192.405640
RTM-NN,17.000000,0.000000,56.466866,15.267863,31.652228,NaN,104.273652,23.174441,57.873108,NaN
ERRM-NN,17.000000,0.000000,1.015645,0.562599,21.513206,12.255907,57.162291,72.483431,146.478618,98.022147
CERRM-NN,17.000000,0.000000,-2.982652,-1.732157,-3.868848,24.787331,31.436125,30.265854,23.419201,152.307533
TM-NN,17.000000,0.000000,89.180036,15.236981,54.917157,NaN,198.069033,25.239355,130.462816,NaN
ETM,18.000000,0.000000,-4.372580,-17.004019,-4.362682,319.627656,160.718890,46.096342,72.265363,1098.064175
ERTM,18.000000,0.000000,2.828351,-5.601443,-8.516342,19.072558,74.842973,80.413337,47.753552,320.172014
RTM,18.000000,0.000000,50.851211,16.009589,28.851772,NaN,118.326130,25.244492,67.415784,NaN
ERRM,18.000000,0.000000,-2.146055,-18.527898,4.905203,13.707246,71.765785,223.609319,195.190892,114.508529
CERRM,18.000000,0.000000,-3.042054,1.267459,-4.648035,25.303775,36.547684,158.608839,28.185771,173.987486
TM,18.000000,0.000000,83.036824,16.781106,52.094099,NaN,269.882634,25.414986,179.513619,NaN
RRM,18.000000,0.000000,37.519129,16.919101,-25.310577,NaN,292.539258,113.000900,407.075706,NaN
CRRM,18.000000,0.000000,44.911649,16.510881,26.085028,NaN,218.276181,25.296989,111.256209,NaN
ETM-NN,18.000000,0.000000,-18.304083,-21.522655,-8.054548,395.266100,66.626409,47.168462,50.760341,942.060485
ERTM-NN,18.000000,0.000000,-5.605694,-5.291457,-7.389257,34.765853,39.500030,75.260663,29.797426,208.119129
